bars_to_max,chosen_variant_key,entry_macd,entry_price,entry_rsi,entry_time,exit_price,exit_reason,exit_strategy,exit_time,expiry,expiry_day_only,expiry_kind,holding_bars,holding_minutes,max_possible_price,max_possible_return_pct,option_type,return_pct,rsi_filter,series_id,spot_at_series_start,strike,symbol,timeframe,train_consistency_score,underlying,walkforward_group,walkforward_window
231,expiry_day|1m|macd_only|target_20pct,1.782788,978.6,72.6408,2025-06-26T11:32:00+05:30,1149.1,hold_to_end_target_20pct_not_hit,target_20pct,2025-06-26 15:29:00+05:30,2025-06-26,True,monthly,237,237,1156.7,18.1995,CE,17.4228,macd_only,NIFTY|monthly|2025-06-26|ITM2,24514.05,24500.0,NIFTY 24400 CE 26 JUN 25,1m,20.976203,NIFTY,monthly_series_expiry_day,2
4,expiry_day|1m|macd_only|target_20pct,0.010308,1.95,59.761,2025-06-26T09:57:00+05:30,0.05,hold_to_end_target_20pct_not_hit,target_20pct,2025-06-26 15:29:00+05:30,2025-06-26,True,monthly,332,332,2.15,10.2564,PE,-97.4359,macd_only,NIFTY|monthly|2025-06-26|ITM2,24514.05,24500.0,NIFTY 24600 PE 26 JUN 25,1m,20.976203,NIFTY,monthly_series_expiry_day,2
198,expiry_day|1m|macd_only|target_20pct,0.101321,110.75,61.8829,2025-07-29T11:14:00+05:30,132.9,target_20pct_hit,target_20pct,2025-07-29 11:15:00+05:30,2025-07-29,True,monthly,1,1,545.65,392.6862,CE,20.0,macd_only,SENSEX|monthly|2025-07-29|ITM2,81564.68,81000.0,SENSEX 80800 CE 29 JUL 25,1m,17.21153,SENSEX,monthly_series_expiry_day,3
140,expiry_day|1m|macd_only|target_20pct,0.265505,138.1,63.6411,2025-07-29T12:12:00+05:30,165.72,target_20pct_hit,target_20pct,2025-07-29 12:41:00+05:30,2025-07-29,True,monthly,29,29,545.65,295.1122,CE,20.0,macd_only,SENSEX|monthly|2025-07-29|ITM2,81564.68,81000.0,SENSEX 80800 CE 29 JUL 25,1m,17.21153,SENSEX,monthly_series_expiry_day,3
21,expiry_day|1m|macd_only|target_20pct,0.761166,454.7,56.4896,2025-07-29T15:02:00+05:30,536.3,hold_to_end_target_20pct_not_hit,target_20pct,2025-07-29 15:29:00+05:30,2025-07-29,True,monthly,27,27,543.4,19.5074,CE,17.9459,macd_only,SENSEX|monthly|2025-07-29|ITM2,81564.68,81000.0,SENSEX 80800 CE 29 JUL 25,1m,17.21153,SENSEX,monthly_series_expiry_day,3
35,expiry_day|1m|macd_only|target_20pct,4.019967,380.0,64.0855,2025-07-29T10:13:00+05:30,456.0,target_20pct_hit,target_20pct,2025-07-29 10:21:00+05:30,2025-07-29,True,monthly,8,8,589.75,55.1974,PE,20.0,macd_only,SENSEX|monthly|2025-07-29|ITM2,81564.68,81000.0,SENSEX 81200 PE 29 JUL 25,1m,17.21153,SENSEX,monthly_series_expiry_day,3
1,expiry_day|1m|macd_only|target_20pct,2.130364,414.95,59.963,2025-07-29T11:47:00+05:30,0.05,hold_to_end_target_20pct_not_hit,target_20pct,2025-07-29 15:29:00+05:30,2025-07-29,True,monthly,222,222,426.25,2.7232,PE,-99.988,macd_only,SENSEX|monthly|2025-07-29|ITM2,81564.68,81000.0,SENSEX 81200 PE 29 JUL 25,1m,17.21153,SENSEX,monthly_series_expiry_day,3
13,expiry_day|1m|macd_only|target_20pct,0.044442,179.1,54.1835,2025-07-31T09:50:00+05:30,214.92,target_20pct_hit,target_20pct,2025-07-31 10:03:00+05:30,2025-07-31,True,monthly,13,13,217.0,21.1614,PE,20.0,macd_only,NIFTY|monthly|2025-07-31|ITM2,24767.55,24750.0,NIFTY 24850 PE 31 JUL 25,1m,23.046545,NIFTY,monthly_series_expiry_day,4
8,expiry_day|1m|macd_only|target_20pct,0.144877,193.25,54.4309,2025-07-31T10:29:00+05:30,81.4,hold_to_end_target_20pct_not_hit,target_20pct,2025-07-31 15:29:00+05:30,2025-07-31,True,monthly,300,300,207.25,7.2445,PE,-57.8784,macd_only,NIFTY|monthly|2025-07-31|ITM2,24767.55,24750.0,NIFTY 24850 PE 31 JUL 25,1m,23.046545,NIFTY,monthly_series_expiry_day,4
1,expiry_day|1m|macd_only|target_20pct,0.175595,14.4,70.5204,2025-08-26T11:01:00+05:30,0.05,hold_to_end_target_20pct_not_hit,target_20pct,2025-08-26 15:29:00+05:30,2025-08-26,True,monthly,268,268,15.25,5.9028,CE,-99.6528,macd_only,SENSEX|monthly|2025-08-26|ITM2,82409.19,81900.0,SENSEX 81700 CE 26 AUG 25,1m,22.670688,SENSEX,monthly_series_expiry_day,5
299,expiry_day|1m|macd_only|target_20pct,1.822066,1093.0,64.2547,2025-08-26T10:15:00+05:30,1311.6,target_20pct_hit,target_20pct,2025-08-26 15:13:00+05:30,2025-08-26,True,monthly,298,298,1332.75,21.935,PE,20.0,macd_only,SENSEX|monthly|2025-08-26|ITM2,82409.19,81900.0,SENSEX 82100 PE 26 AUG 25,1m,22.670688,SENSEX,monthly_series_expiry_day,5
0,expiry_day|5m|rsi_60|target_20pct,0.009181,1.5,66.2475,2025-10-30T14:00:00+05:30,0.05,hold_to_end_target_20pct_not_hit,target_20pct,2025-10-30 15:30:00+05:30,2025-10-30,True,monthly,18,90,1.55,3.3333,PE,-96.6667,rsi_60,SENSEX|monthly|2025-10-30|ITM2,81954.53,82000.0,SENSEX 82200 PE 30 OCT 25,5m,24.617357,SENSEX,monthly_series_expiry_day,7
17,expiry_day|3m|macd_only|target_20pct,3.235169,3724.55,67.9046,2025-11-27T14:33:00+05:30,3736.3,hold_to_end_target_20pct_not_hit,target_20pct,2025-11-27 15:30:00+05:30,2025-11-27,True,monthly,19,57,3736.3,0.3155,CE,0.3155,macd_only,SENSEX|monthly|2025-11-27|ITM2,82088.92,82500.0,SENSEX 82000 CE 27 NOV 25,3m,25.609859,SENSEX,monthly_series_expiry_day,8
3,expiry_day|3m|macd_only|target_20pct,7.793488,420.8,62.7795,2026-02-26T14:36:00+05:30,504.96,target_20pct_hit,target_20pct,2026-02-26 14:42:00+05:30,2026-02-26,True,monthly,2,6,651.95,54.9311,CE,20.0,macd_only,SENSEX|monthly|2026-02-26|ITM2,83305.12,83400.0,SENSEX 81800 CE 26 FEB 26,3m,27.14645,SENSEX,monthly_series_expiry_day,11
61,expiry_day|3m|macd_only|target_20pct,1.376161,1211.15,58.5594,2026-02-26T10:39:00+05:30,1453.38,target_20pct_hit,target_20pct,2026-02-26 11:57:00+05:30,2026-02-26,True,monthly,26,78,1591.75,31.4247,PE,20.0,macd_only,SENSEX|monthly|2026-02-26|ITM2,83305.12,83400.0,SENSEX 83600 PE 26 FEB 26,3m,27.14645,SENSEX,monthly_series_expiry_day,11
