strategy,underlying,expiry_kind,expiry,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,blended_return,max_possible_return,ladder_exits,remaining_at_exit
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-17,CE,2025-04-11 15:00:00+05:30,103.9,2025-04-15 09:15:00+05:30,207.8,fully_laddered,58.0,546.6795,30.0|40.0|50.0|60.0|70.0|80.0|90.0|100.0,0.0
target_30pct,NIFTY,weekly,2025-04-17,CE,2025-04-11 15:00:00+05:30,103.9,2025-04-15 09:15:00+05:30,135.07,target_30pct_hit,30.0,546.6795,,0.0
target_50pct,NIFTY,weekly,2025-04-17,CE,2025-04-11 15:00:00+05:30,103.9,2025-04-15 09:15:00+05:30,155.85,target_50pct_hit,50.0,546.6795,,0.0
target_75pct,NIFTY,weekly,2025-04-17,CE,2025-04-11 15:00:00+05:30,103.9,2025-04-15 09:15:00+05:30,181.825,target_75pct_hit,75.0,546.6795,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-17,CE,2025-04-16 11:35:00+05:30,146.5,2025-04-16 14:00:00+05:30,206.8,trail_stop,38.5802,358.6348,30.0|40.0|50.0,0.5
target_30pct,NIFTY,weekly,2025-04-17,CE,2025-04-16 11:35:00+05:30,146.5,2025-04-16 14:00:00+05:30,190.45,target_30pct_hit,30.0,358.6348,,0.0
target_50pct,NIFTY,weekly,2025-04-17,CE,2025-04-16 11:35:00+05:30,146.5,2025-04-16 14:00:00+05:30,219.75,target_50pct_hit,50.0,358.6348,,0.0
target_75pct,NIFTY,weekly,2025-04-17,CE,2025-04-16 11:35:00+05:30,146.5,2025-04-17 11:15:00+05:30,256.375,target_75pct_hit,75.0,358.6348,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-17,CE,2025-04-17 09:50:00+05:30,227.7,2025-04-17 10:10:00+05:30,159.39,hard_sl,-30.0,195.0812,,1.0
target_30pct,NIFTY,weekly,2025-04-17,CE,2025-04-17 09:50:00+05:30,227.7,2025-04-17 11:30:00+05:30,296.01,target_30pct_hit,30.0,195.0812,,0.0
target_50pct,NIFTY,weekly,2025-04-17,CE,2025-04-17 09:50:00+05:30,227.7,2025-04-17 11:35:00+05:30,341.55,target_50pct_hit,50.0,195.0812,,0.0
target_75pct,NIFTY,weekly,2025-04-17,CE,2025-04-17 09:50:00+05:30,227.7,2025-04-17 11:45:00+05:30,398.475,target_75pct_hit,75.0,195.0812,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-17,PE,2025-04-03 13:25:00+05:30,175.3,2025-04-04 09:15:00+05:30,241.47,trail_stop,35.648,764.2327,30.0|40.0,0.6
target_30pct,NIFTY,weekly,2025-04-17,PE,2025-04-03 13:25:00+05:30,175.3,2025-04-04 09:15:00+05:30,227.89,target_30pct_hit,30.0,764.2327,,0.0
