underlying,target,n,win_rate,avg_return,final_equity
OIL,20,43,51.2,-15.53,25931.0
OIL,30,43,41.9,-18.37,20164.0
OIL,50,43,34.9,-17.77,20567.0
OIL,75,43,32.6,-15.49,24381.0
ONGC,20,44,70.5,-1.56,90774.0
ONGC,30,44,63.6,-1.14,96596.0
ONGC,50,44,52.3,-1.92,86953.0
ONGC,75,44,43.2,-2.53,79354.0
PAGEIND,20,37,83.8,7.8,183147.0
PAGEIND,30,37,73.0,6.12,160084.0
PAGEIND,50,37,70.3,16.13,313386.0
PAGEIND,75,37,59.5,16.88,305795.0
PATANJALI,20,15,73.3,-0.27,101004.0
PATANJALI,30,15,66.7,-0.05,105537.0
PATANJALI,50,15,53.3,0.75,107879.0
PATANJALI,75,15,40.0,-5.18,90191.0
PAYTM,20,48,81.2,5.94,174118.0
PAYTM,30,48,75.0,8.5,215082.0
PAYTM,50,48,66.7,13.24,313565.0
PAYTM,75,48,58.3,16.12,382706.0
PERSISTENT,20,44,63.6,-7.79,54063.0
PERSISTENT,30,44,61.4,-2.66,82896.0
PERSISTENT,50,44,52.3,0.3,107210.0
PERSISTENT,75,44,45.5,3.14,136641.0
PETRONET,20,28,64.3,-3.8,78176.0
PETRONET,30,28,50.0,-10.27,54863.0
PETRONET,50,28,42.9,-8.24,59444.0
PETRONET,75,28,35.7,-7.51,59368.0
PFC,20,43,72.1,-0.1,94805.0
PFC,30,43,72.1,6.26,159557.0
PFC,50,43,62.8,9.47,196565.0
PFC,75,43,48.8,3.37,116418.0
PGEL,20,23,78.3,4.55,122651.0
PGEL,30,23,73.9,8.39,143960.0
PGEL,50,23,69.6,16.87,203525.0
PGEL,75,23,69.6,27.74,316027.0
PHOENIXLTD,20,27,63.0,-5.59,74064.0
PHOENIXLTD,30,27,55.6,-5.83,72417.0
PHOENIXLTD,50,27,37.0,-15.12,44597.0
PHOENIXLTD,75,27,33.3,-11.57,52071.0
PIDILITIND,20,28,50.0,-15.65,46197.0
PIDILITIND,30,28,42.9,-16.44,43482.0
PIDILITIND,50,28,32.1,-18.19,38581.0
PIDILITIND,75,28,17.9,-28.16,21592.0
PIIND,20,32,56.2,-9.94,51700.0
PIIND,30,32,50.0,-10.38,49873.0
PIIND,50,32,37.5,-13.33,40200.0
PIIND,75,32,28.1,-16.79,32349.0
PNB,20,48,68.8,-0.87,92261.0
PNB,30,48,60.4,-1.28,89052.0
PNB,50,48,47.9,-3.18,72340.0
PNB,75,48,43.8,2.34,112688.0
PNBHOUSING,20,38,73.7,1.06,106594.0
PNBHOUSING,30,38,60.5,-3.36,75927.0
PNBHOUSING,50,38,55.3,1.46,104772.0
PNBHOUSING,75,38,47.4,2.48,106922.0
POLICYBZR,20,36,52.8,-15.58,38112.0
POLICYBZR,30,36,44.4,-18.43,33500.0
POLICYBZR,50,36,30.6,-24.12,22217.0
POLICYBZR,75,36,19.4,-31.38,13590.0
POLYCAB,20,39,61.5,-7.23,60798.0
POLYCAB,30,39,59.0,-3.19,81539.0
POLYCAB,50,39,48.7,-3.19,85657.0
POLYCAB,75,39,41.0,-0.49,101830.0
POWERGRID,20,36,58.3,-9.16,52343.0
POWERGRID,30,36,41.7,-17.28,28703.0
POWERGRID,50,36,30.6,-21.12,21604.0
POWERGRID,75,36,19.4,-28.28,12641.0
POWERINDIA,20,12,50.0,-17.17,72761.0
POWERINDIA,30,12,50.0,-12.17,81570.0
POWERINDIA,50,12,8.3,-44.61,39625.0
POWERINDIA,75,12,8.3,-42.52,41426.0
PPLPHARMA,20,32,65.6,-5.96,71510.0
PPLPHARMA,30,32,56.2,-7.34,65298.0
PPLPHARMA,50,32,50.0,-2.55,85146.0
PPLPHARMA,75,32,43.8,-0.0,96044.0
PREMIERENE,20,6,83.3,16.49,121411.0
PREMIERENE,30,6,66.7,9.96,113385.0
PREMIERENE,50,6,66.7,23.3,131493.0
PREMIERENE,75,6,50.0,26.3,134690.0
PRESTIGE,20,39,66.7,-4.89,70472.0
PRESTIGE,30,39,59.0,-4.55,70781.0
PRESTIGE,50,39,56.4,3.47,125304.0
PRESTIGE,75,39,48.7,5.95,152161.0
RBLBANK,20,36,72.2,-2.58,93601.0
RBLBANK,30,36,66.7,-0.13,108635.0
RBLBANK,50,36,55.6,0.35,115062.0
RBLBANK,75,36,52.8,5.11,152562.0
RECLTD,20,50,66.0,-4.61,66532.0
RECLTD,30,50,60.0,-2.88,76354.0
RECLTD,50,50,56.0,4.78,155287.0
RECLTD,75,50,48.0,8.02,197015.0
RELIANCE,20,43,72.1,-1.69,91630.0
RELIANCE,30,43,62.8,-2.98,83846.0
RELIANCE,50,43,55.8,1.19,115932.0
RELIANCE,75,43,44.2,-1.66,86584.0
RVNL,20,34,73.5,-0.63,103280.0
RVNL,30,34,67.6,1.89,119868.0
RVNL,50,34,52.9,-0.76,100410.0
RVNL,75,34,50.0,7.48,162690.0
SAIL,20,43,53.5,-15.3,29965.0
SAIL,30,43,46.5,-15.78,28425.0
SAIL,50,43,34.9,-20.56,21033.0
SAIL,75,43,23.3,-28.0,11506.0
SAMMAANCAP,20,16,75.0,0.27,103150.0
SAMMAANCAP,30,16,75.0,5.79,122025.0
SAMMAANCAP,50,16,68.8,7.33,127815.0
SAMMAANCAP,75,16,68.8,14.72,157228.0
SBICARD,20,33,72.7,-0.4,99308.0
SBICARD,30,33,69.7,4.42,133186.0
SBICARD,50,33,57.6,4.12,126425.0
SBICARD,75,33,39.4,-6.45,61843.0
SBILIFE,20,43,62.8,-7.83,56142.0
SBILIFE,30,43,53.5,-9.94,47876.0
SBILIFE,50,43,46.5,-6.84,59235.0
SBILIFE,75,43,44.2,0.55,102148.0
SBIN,20,49,73.5,-0.13,108140.0
SBIN,30,49,67.3,0.25,116084.0
SBIN,50,49,59.2,2.28,136213.0
SBIN,75,49,53.1,5.73,173606.0
SHREECEM,20,30,60.0,-8.91,67361.0
SHREECEM,30,30,50.0,-12.59,58093.0
SHREECEM,50,30,40.0,-12.94,54918.0
SHREECEM,75,30,26.7,-20.39,35372.0
SHRIRAMFIN,20,43,65.1,-6.49,62954.0
SHRIRAMFIN,30,43,62.8,-2.33,87709.0
SHRIRAMFIN,50,43,53.5,-1.26,99223.0
SHRIRAMFIN,75,43,48.8,4.7,154565.0
SIEMENS,20,30,73.3,0.99,109684.0
SIEMENS,30,30,66.7,1.49,120230.0
SIEMENS,50,30,43.3,-10.35,67676.0
SIEMENS,75,30,36.7,-12.07,61463.0
SOLARINDS,20,29,58.6,-12.66,54334.0
SOLARINDS,30,29,51.7,-14.74,51978.0
SOLARINDS,50,29,37.9,-20.32,37700.0
SOLARINDS,75,29,27.6,-26.19,26960.0
SONACOMS,20,34,58.8,-9.65,54696.0
SONACOMS,30,34,52.9,-8.82,56625.0
SONACOMS,50,34,44.1,-8.05,58214.0
SONACOMS,75,34,32.4,-13.4,40689.0
SRF,20,36,61.1,-8.76,54216.0
SRF,30,36,47.2,-14.4,36375.0
SRF,50,36,38.9,-14.22,37292.0
SRF,75,36,27.8,-20.0,24932.0
SUNPHARMA,20,33,75.8,3.2,123822.0
SUNPHARMA,30,33,75.8,10.37,194260.0
SUNPHARMA,50,33,66.7,16.29,280593.0
SUNPHARMA,75,33,63.6,25.67,475417.0
SUPREMEIND,20,29,69.0,-1.21,89808.0
SUPREMEIND,30,29,65.5,2.56,109504.0
SUPREMEIND,50,29,62.1,10.77,167724.0
SUPREMEIND,75,29,58.6,17.99,238466.0
SUZLON,20,19,73.7,0.65,102254.0
SUZLON,30,19,47.4,-13.73,58908.0
SUZLON,50,19,42.1,-9.63,67268.0
SUZLON,75,19,31.6,-12.31,58795.0
SWIGGY,20,5,80.0,5.64,105287.0
SWIGGY,30,5,80.0,13.64,113623.0
SWIGGY,50,5,80.0,29.64,131769.0
SWIGGY,75,5,80.0,49.64,157411.0
SYNGENE,20,34,73.5,1.18,114537.0
SYNGENE,30,34,67.6,3.71,132933.0
SYNGENE,50,34,50.0,-2.18,93482.0
SYNGENE,75,34,32.4,-13.57,45728.0
TATACONSUM,20,39,64.1,-1.44,86582.0
TATACONSUM,30,39,51.3,-4.66,66414.0
TATACONSUM,50,39,48.7,0.78,96813.0
TATACONSUM,75,39,41.0,-0.89,81458.0
TATAELXSI,20,33,72.7,-0.07,106190.0
TATAELXSI,30,33,66.7,2.02,120920.0
TATAELXSI,50,33,63.6,12.22,223490.0
TATAELXSI,75,33,54.5,14.65,244725.0
TATAPOWER,20,43,67.4,-3.11,78783.0
TATAPOWER,30,43,60.5,-1.81,85631.0
TATAPOWER,50,43,48.8,0.09,96108.0
TATAPOWER,75,43,34.9,-8.14,49845.0
TATASTEEL,20,47,74.5,2.32,127456.0
TATASTEEL,30,47,61.7,-0.85,98811.0
TATASTEEL,50,47,51.1,-0.82,94475.0
TATASTEEL,75,47,44.7,1.16,110426.0
TATATECH,20,39,74.4,1.51,116653.0
TATATECH,30,39,66.7,2.3,121713.0
TATATECH,50,39,61.5,9.27,196508.0
TATATECH,75,39,59.0,19.26,403748.0
TCS,20,38,73.7,0.92,109697.0
TCS,30,38,65.8,2.01,116080.0
TCS,50,38,50.0,-1.98,84711.0
TCS,75,38,47.4,5.92,141194.0
TECHM,20,36,47.2,-17.97,28526.0
TECHM,30,36,41.7,-17.76,28428.0
TECHM,50,36,33.3,-18.04,27139.0
TECHM,75,36,25.0,-20.4,22177.0
TIINDIA,20,25,56.0,-13.63,53452.0
TIINDIA,30,25,40.0,-21.43,35584.0
TIINDIA,50,25,36.0,-18.98,39343.0
TIINDIA,75,25,32.0,-16.99,42029.0
TITAN,20,33,72.7,-1.81,95684.0
TITAN,30,33,69.7,1.81,125906.0
TITAN,50,33,57.6,3.49,138721.0
TITAN,75,33,57.6,12.35,231646.0
TMPV,20,46,63.0,-3.85,68574.0
TMPV,30,46,58.7,-1.04,85888.0
TMPV,50,46,45.7,-2.52,71375.0
TMPV,75,46,41.3,1.79,97147.0
TORNTPHARM,20,33,63.6,-5.7,68249.0
TORNTPHARM,30,33,54.5,-8.05,61145.0
TORNTPHARM,50,33,39.4,-11.88,46756.0
TORNTPHARM,75,33,30.3,-14.79,38206.0
TORNTPOWER,20,22,50.0,-18.74,48310.0
TORNTPOWER,30,22,36.4,-24.99,36462.0
TORNTPOWER,50,22,31.8,-22.31,40122.0
TORNTPOWER,75,22,22.7,-25.89,33544.0
TRENT,20,35,82.9,6.69,156002.0
TRENT,30,35,74.3,7.19,159697.0
TRENT,50,35,71.4,16.76,317856.0
TRENT,75,35,68.6,27.34,604092.0
TVSMOTOR,20,32,62.5,-7.82,64617.0
TVSMOTOR,30,32,59.4,-4.26,80303.0
TVSMOTOR,50,32,53.1,0.45,103471.0
TVSMOTOR,75,32,40.6,-3.49,79046.0
ULTRACEMCO,20,36,66.7,-5.61,72395.0
ULTRACEMCO,30,36,58.3,-6.23,68723.0
ULTRACEMCO,50,36,50.0,-3.49,78957.0
ULTRACEMCO,75,36,27.8,-21.45,22547.0
UNIONBANK,20,40,72.5,2.86,123819.0
UNIONBANK,30,40,62.5,2.35,118444.0
UNIONBANK,50,40,55.0,7.51,170376.0
UNIONBANK,75,40,47.5,10.11,199398.0
UNITDSPR,20,28,42.9,-19.73,32964.0
UNITDSPR,30,28,39.3,-18.31,35176.0
UNITDSPR,50,28,32.1,-17.71,35392.0
UNITDSPR,75,28,28.6,-14.31,41323.0
UNOMINDA,20,21,47.6,-20.78,46452.0
UNOMINDA,30,21,42.9,-19.87,47716.0
UNOMINDA,50,21,33.3,-22.52,44580.0
UNOMINDA,75,21,19.0,-32.29,29168.0
UPL,20,39,64.1,-5.96,65039.0
UPL,30,39,61.5,-1.63,88904.0
UPL,50,39,56.4,4.0,134310.0
UPL,75,39,41.0,-2.37,76589.0
VBL,20,42,76.2,3.8,139297.0
VBL,30,42,66.7,4.34,141423.0
VBL,50,42,57.1,7.11,172292.0
VBL,75,42,50.0,11.61,229571.0
VEDL,20,42,59.5,-9.89,43279.0
VEDL,30,42,47.6,-13.98,29595.0
VEDL,50,42,35.7,-18.74,19675.0
VEDL,75,42,35.7,-11.6,33541.0
VOLTAS,20,37,56.8,-12.92,42226.0
VOLTAS,30,37,51.4,-12.11,45413.0
VOLTAS,50,37,37.8,-16.22,33657.0
VOLTAS,75,37,24.3,-24.01,19657.0
WAAREEENER,20,5,60.0,-10.41,91114.0
WAAREEENER,30,5,40.0,-22.71,81910.0
WAAREEENER,50,5,40.0,-14.71,88209.0
WAAREEENER,75,5,20.0,-34.33,75452.0
WIPRO,20,40,77.5,5.81,159328.0
WIPRO,30,40,65.0,3.7,134793.0
WIPRO,50,40,47.5,0.2,103872.0
WIPRO,75,40,42.5,5.26,142641.0
YESBANK,20,41,73.2,3.14,125010.0
YESBANK,30,41,68.3,5.68,148975.0
YESBANK,50,41,51.2,0.28,95790.0
YESBANK,75,41,46.3,5.37,136523.0
ZYDUSLIFE,20,33,63.6,-9.2,64359.0
ZYDUSLIFE,30,33,60.6,-5.4,81521.0
ZYDUSLIFE,50,33,45.5,-11.34,56297.0
ZYDUSLIFE,75,33,42.4,-7.05,71843.0
