bars_to_max,chosen_variant_key,entry_macd,entry_price,entry_rsi,entry_time,exit_price,exit_reason,exit_strategy,exit_time,expiry,expiry_day_only,expiry_kind,holding_bars,holding_minutes,max_possible_price,max_possible_return_pct,option_type,return_pct,rsi_filter,series_id,spot_at_series_start,strike,symbol,timeframe,train_consistency_score,underlying,walkforward_group,walkforward_window
116,series|10m|macd_only|hold_to_expiry,0.480843,209.8,64.7146,2025-04-07T15:20:00+05:30,736.95,hold_to_end,hold_to_expiry,2025-04-15 15:30:00+05:30,2025-04-15,False,weekly,153,1530,871.5,315.3956,CE,251.2631,macd_only,SENSEX|weekly|2025-04-15|ITM1,76088.08,76100.0,SENSEX 76000 CE 15 APR 25,10m,301.980851,SENSEX,weekly_series,1
59,series|10m|macd_only|hold_to_expiry,0.537033,533.0,50.8077,2025-04-03T15:20:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-04-15 15:30:00+05:30,2025-04-15,False,weekly,158,1580,3813.55,615.4878,PE,-99.9906,macd_only,SENSEX|weekly|2025-04-15|ITM1,76088.08,76100.0,SENSEX 76200 PE 15 APR 25,10m,301.980851,SENSEX,weekly_series,1
225,series|10m|macd_only|hold_to_expiry,1.020989,81.0,69.9886,2025-04-07T15:30:00+05:30,700.95,hold_to_end,hold_to_expiry,2025-04-17 15:30:00+05:30,2025-04-17,False,weekly,228,2280,719.2,787.9012,CE,765.3704,macd_only,NIFTY|weekly|2025-04-17|ITM1,23192.2,23200.0,NIFTY 23150 CE 17 APR 25,10m,245.655158,NIFTY,weekly_series,2
44,series|10m|macd_only|hold_to_expiry,0.067201,199.2,52.1878,2025-04-03T14:40:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-04-17 15:30:00+05:30,2025-04-17,False,weekly,308,3080,1460.5,633.1827,PE,-99.9749,macd_only,NIFTY|weekly|2025-04-17|ITM1,23192.2,23200.0,NIFTY 23250 PE 17 APR 25,10m,245.655158,NIFTY,weekly_series,2
35,series|30m|rsi_55|macd_reversal,13.246695,1002.9,61.8431,2025-04-28T12:30:00+05:30,772.85,macd_reversal,macd_reversal,2025-05-02 13:00:00+05:30,2025-05-06,False,weekly,40,1200,1560.7,55.6187,CE,-22.9385,rsi_55,SENSEX|weekly|2025-05-06|ITM1,79623.9,80000.0,SENSEX 79900 CE 06 MAY 25,30m,418.790126,SENSEX,weekly_series,5
34,series|30m|rsi_55|macd_reversal,0.330521,340.35,62.8119,2025-04-28T13:00:00+05:30,275.0,macd_reversal,macd_reversal,2025-04-30 10:30:00+05:30,2025-05-08,False,weekly,21,630,478.0,40.4437,CE,-19.2008,rsi_55,NIFTY|weekly|2025-05-08|ITM1,24279.15,24300.0,NIFTY 24250 CE 08 MAY 25,30m,188.554675,NIFTY,weekly_series,6
4,series|30m|rsi_55|macd_reversal,0.605815,318.89,57.0952,2025-04-30T15:00:00+05:30,274.95,macd_reversal,macd_reversal,2025-04-30 15:30:00+05:30,2025-05-08,False,weekly,1,30,478.0,49.8949,CE,-13.779,rsi_55,NIFTY|weekly|2025-05-08|ITM1,24279.15,24300.0,NIFTY 24250 CE 08 MAY 25,30m,188.554675,NIFTY,weekly_series,6
2,series|30m|rsi_55|macd_reversal,7.957499,408.55,67.6498,2025-05-02T09:30:00+05:30,199.5,macd_reversal,macd_reversal,2025-05-02 12:30:00+05:30,2025-05-08,False,weekly,6,180,478.0,16.9991,CE,-51.1688,rsi_55,NIFTY|weekly|2025-05-08|ITM1,24279.15,24300.0,NIFTY 24250 CE 08 MAY 25,30m,188.554675,NIFTY,weekly_series,6
633,series|5m|macd_only|trail_after_30pct_dd15pct,0.141821,970.1,60.0058,2025-04-29T13:05:00+05:30,1223.0,trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-02 10:30:00+05:30,2025-05-13,False,weekly,119,595,2131.2,119.6887,CE,26.0695,macd_only,SENSEX|weekly|2025-05-13|ITM1,80586.33,80600.0,SENSEX 80500 CE 13 MAY 25,5m,91.09102,SENSEX,weekly_series,7
476,series|5m|macd_only|trail_after_30pct_dd15pct,2.441437,1050.95,63.077,2025-05-02T13:40:00+05:30,1207.95,trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-12 10:10:00+05:30,2025-05-13,False,weekly,414,2070,2131.2,102.788,CE,14.9389,macd_only,SENSEX|weekly|2025-05-13|ITM1,80586.33,80600.0,SENSEX 80500 CE 13 MAY 25,5m,91.09102,SENSEX,weekly_series,7
453,series|5m|macd_only|trail_after_30pct_dd15pct,5.185706,1228.3,94.302,2025-04-30T09:20:00+05:30,1209.7,trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-09 09:15:00+05:30,2025-05-13,False,weekly,453,2265,1821.55,48.2985,PE,-1.5143,macd_only,SENSEX|weekly|2025-05-13|ITM1,80586.33,80600.0,SENSEX 80700 PE 13 MAY 25,5m,91.09102,SENSEX,weekly_series,7
0,series|5m|macd_only|trail_after_30pct_dd15pct,1.740833,106.4,61.6818,2025-05-13T10:35:00+05:30,0.05,hold_to_end_trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-13 15:30:00+05:30,2025-05-13,False,weekly,59,295,144.1,35.4323,PE,-99.953,macd_only,SENSEX|weekly|2025-05-13|ITM1,80586.33,80600.0,SENSEX 80700 PE 13 MAY 25,5m,91.09102,SENSEX,weekly_series,7
668,series|5m|macd_only|trail_after_20pct_dd10pct,1.390098,308.14,58.6456,2025-05-05T09:30:00+05:30,370.0,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-12 10:05:00+05:30,2025-05-15,False,weekly,387,1935,729.7,136.8079,CE,20.0753,macd_only,NIFTY|weekly|2025-05-15|ITM1,24431.25,24450.0,NIFTY 24400 CE 15 MAY 25,5m,73.505867,NIFTY,weekly_series,8
134,series|5m|macd_only|trail_after_20pct_dd10pct,1.744257,312.2,56.8413,2025-05-14T09:40:00+05:30,368.1,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-15 10:40:00+05:30,2025-05-15,False,weekly,88,440,729.7,133.7284,CE,17.9052,macd_only,NIFTY|weekly|2025-05-15|ITM1,24431.25,24450.0,NIFTY 24400 CE 15 MAY 25,5m,73.505867,NIFTY,weekly_series,8
