underlying,target,n_trades,win_rate,avg_ret,median_ret,avg_win,avg_loss
KALYANKJIL,75,50,38.0,-7.84,-50.56,66.82,-53.6
KAYNES,20,39,71.8,-1.11,20,19.74,-54.18
KAYNES,30,39,66.7,2.34,30,29.01,-51.01
KAYNES,50,39,59.0,6.58,50,47.14,-51.73
KAYNES,75,39,46.2,2.83,-12.11,64.78,-50.27
KEI,20,54,59.3,-10.08,20.0,20.0,-53.83
KEI,30,54,55.6,-7.15,30.0,30.0,-53.58
KEI,50,54,42.6,-9.81,-50.39,50.0,-54.18
KEI,75,54,38.9,-5.44,-51.02,71.37,-54.33
KFINTECH,20,41,56.1,-12.48,20,20.0,-53.98
KFINTECH,30,41,46.3,-14.55,-50.0,30.0,-53.03
KFINTECH,50,41,36.6,-15.56,-50.86,50.0,-53.39
KFINTECH,75,41,31.7,-16.11,-51.12,64.39,-53.48
KOTAKBANK,20,14,57.1,-12.02,20.0,20.0,-54.7
KOTAKBANK,30,14,28.6,-31.45,-55.63,30.0,-56.03
KOTAKBANK,50,14,28.6,-26.82,-55.63,46.22,-56.03
KOTAKBANK,75,14,21.4,-30.41,-55.63,61.62,-55.51
KPITTECH,20,58,51.7,-17.56,10.7,19.38,-57.14
KPITTECH,30,58,46.6,-17.57,-50.0,28.94,-58.07
KPITTECH,50,58,36.2,-20.21,-51.42,44.96,-57.19
KPITTECH,75,58,31.0,-18.52,-51.52,64.95,-56.09
LAURUSLABS,20,55,78.2,4.56,20,19.26,-48.12
LAURUSLABS,30,55,65.5,0.9,30,28.29,-50.98
LAURUSLABS,50,55,52.7,-0.06,9.2,45.8,-51.22
LAURUSLABS,75,55,47.3,4.27,-25.84,67.43,-52.35
LICHSGFIN,20,54,77.8,2.47,20.0,19.67,-57.7
LICHSGFIN,30,54,66.7,0.72,30.0,29.33,-56.49
LICHSGFIN,50,54,50.0,-3.15,-6.91,48.37,-54.68
LICHSGFIN,75,54,48.1,5.3,-34.94,69.83,-54.61
LICI,20,54,64.8,-4.87,20.0,20.0,-50.67
LICI,30,54,55.6,-6.21,30.0,30.0,-51.48
LICI,50,54,50.0,-1.47,8.71,48.79,-51.74
LICI,75,54,33.3,-12.3,-51.22,68.05,-52.48
LODHA,20,46,73.9,0.27,20.0,20.0,-55.63
LODHA,30,46,65.2,0.21,30.0,30.0,-55.66
LODHA,50,46,52.2,-1.31,38.09,49.01,-56.2
LODHA,75,46,34.8,-12.65,-51.52,68.95,-56.18
LT,20,56,69.6,-1.24,20.0,19.64,-49.16
LT,30,56,60.7,-2.3,30.0,29.3,-51.12
LT,50,56,46.4,-5.46,-25.08,48.31,-52.06
LT,75,56,39.3,-3.41,-50.38,71.87,-52.12
LTF,20,61,65.6,-4.02,20,20.0,-49.76
LTF,30,61,54.1,-7.01,30,30.0,-50.62
LTF,50,61,41.0,-10.74,-50.0,48.26,-51.71
LTF,75,61,34.4,-11.4,-50.28,66.95,-52.54
LTM,20,45,62.2,-5.88,20,20.0,-48.52
LTM,30,45,55.6,-5.89,30,29.01,-49.52
LTM,50,45,51.1,0.08,5.36,48.06,-50.08
LTM,75,45,37.8,-5.11,-50.0,70.9,-51.25
LUPIN,20,57,63.2,-5.43,20,19.48,-48.14
LUPIN,30,57,56.1,-5.18,30,29.11,-49.06
LUPIN,50,57,38.6,-12.68,-50.19,45.63,-49.33
LUPIN,75,57,28.1,-17.33,-50.74,65.86,-49.8
M&M,20,65,66.2,-5.41,20,19.7,-54.48
M&M,30,65,58.5,-5.34,30,29.39,-54.22
M&M,50,65,50.8,-1.61,6.97,48.7,-53.49
M&M,75,65,47.7,6.47,-37.69,72.81,-54.01
MANAPPURAM,20,61,60.7,-11.93,20,19.59,-60.52
MANAPPURAM,30,61,50.8,-13.64,4.75,29.19,-57.89
MANAPPURAM,50,61,44.3,-10.87,-50.0,48.32,-57.88
MANAPPURAM,75,61,34.4,-13.69,-50.76,69.45,-57.34
MANKIND,20,37,70.3,-2.87,20,19.46,-55.67
MANKIND,30,37,64.9,-1.75,30,27.77,-56.26
MANKIND,50,37,54.1,-1.94,6.01,43.96,-55.94
MANKIND,75,37,45.9,-5.64,-50.82,53.53,-55.93
MARICO,20,47,57.4,-11.66,20,19.53,-53.76
MARICO,30,47,51.1,-11.54,7.18,29.05,-53.89
MARICO,50,47,46.8,-6.28,-50.54,48.05,-54.1
MARICO,75,47,36.2,-8.71,-51.08,71.01,-53.88
MARUTI,20,64,70.3,-2.1,20.0,19.68,-53.67
MARUTI,30,64,57.8,-4.96,30.0,29.34,-51.95
MARUTI,50,64,48.4,-3.69,-7.98,48.57,-52.79
MARUTI,75,64,32.8,-11.86,-50.29,69.57,-51.64
MAXHEALTH,20,59,61.0,-9.51,20,19.51,-54.93
MAXHEALTH,30,59,52.5,-10.94,30,29.11,-55.28
MAXHEALTH,50,59,45.8,-8.77,-50.49,45.92,-54.92
MAXHEALTH,75,59,42.4,-3.51,-50.78,66.25,-54.8
MAZDOCK,20,44,65.9,-8.18,20.0,19.59,-61.87
MAZDOCK,30,44,63.6,-3.7,30.0,29.22,-61.31
MAZDOCK,50,44,50.0,-5.47,-20.91,48.1,-59.04
MAZDOCK,75,44,40.9,-5.8,-51.27,69.78,-58.13
MCX,20,17,41.2,-32.89,-51.11,20.0,-69.92
MCX,30,17,41.2,-29.51,-51.11,28.22,-69.92
MCX,50,17,35.3,-29.02,-51.92,44.6,-69.18
MCX,75,17,29.4,-27.45,-51.92,63.51,-65.35
MFSL,20,36,72.2,-2.0,20.0,20.0,-59.2
MFSL,30,36,72.2,5.22,30.0,30.0,-59.2
MFSL,50,36,58.3,4.25,50.0,48.31,-57.42
MFSL,75,36,50.0,5.96,-8.99,68.6,-56.68
MIDCPNIFTY,20,47,66.0,-4.46,20,20.0,-51.86
MIDCPNIFTY,30,47,55.3,-8.01,30,28.87,-53.66
MIDCPNIFTY,50,47,48.9,-4.32,-0.69,47.29,-53.77
MIDCPNIFTY,75,47,46.8,3.34,-27.12,68.14,-53.69
MOTHERSON,20,53,62.3,-5.53,20,19.35,-46.59
MOTHERSON,30,53,50.9,-8.83,5.1,28.47,-47.56
MOTHERSON,50,53,45.3,-5.15,-5.63,46.61,-47.98
MOTHERSON,75,53,30.2,-14.94,-50.0,64.85,-49.44
MPHASIS,20,61,67.2,-5.29,20,19.26,-55.63
MPHASIS,30,61,62.3,-2.88,30,28.68,-55.03
MPHASIS,50,61,49.2,-5.46,-24.05,46.33,-55.57
MPHASIS,75,61,39.3,-6.72,-50.57,66.21,-54.03
MUTHOOTFIN,20,61,68.9,-1.4,20,20.0,-48.71
MUTHOOTFIN,30,61,57.4,-4.85,30,30.0,-51.76
MUTHOOTFIN,50,61,52.5,1.47,50,49.86,-51.93
MUTHOOTFIN,75,61,36.1,-7.74,-50.76,70.34,-51.79
NATIONALUM,20,61,62.3,-7.82,20,19.49,-52.95
NATIONALUM,30,61,57.4,-5.9,30,28.59,-52.32
NATIONALUM,50,61,50.8,-2.51,0.69,45.64,-52.26
NATIONALUM,75,61,42.6,-3.38,-50.0,64.13,-53.54
NAUKRI,20,62,66.1,-6.3,20.0,19.67,-56.98
NAUKRI,30,62,58.1,-8.1,30.0,28.68,-59.01
NAUKRI,50,62,48.4,-7.38,-25.0,46.41,-57.8
NAUKRI,75,62,40.3,-7.81,-51.38,66.29,-57.88
NBCC,20,47,76.6,3.81,20,19.51,-47.59
NBCC,30,47,61.7,-1.52,30,28.94,-50.59
NBCC,50,47,53.2,1.17,27.08,47.18,-51.1
NBCC,75,47,46.8,4.2,-40.85,67.58,-51.58
NESTLEIND,20,40,67.5,-3.34,20.0,20.0,-51.83
NESTLEIND,30,40,45.0,-15.29,-50.19,30.0,-52.34
NESTLEIND,50,40,37.5,-14.64,-50.62,50.0,-53.43
NESTLEIND,75,40,32.5,-13.65,-50.69,69.95,-53.9
NHPC,20,58,62.1,-6.13,20.0,20.0,-48.89
NHPC,30,58,53.4,-7.37,30.0,30.0,-50.28
NHPC,50,58,41.4,-9.19,-50.0,50.0,-50.97
NHPC,75,58,31.0,-12.44,-50.0,72.65,-50.73
NIFTY,20,96,66.7,-3.66,20.0,20.0,-50.97
NIFTY,30,96,61.5,-1.47,30.0,30.0,-51.64
NIFTY,50,96,51.0,-1.03,11.84,48.03,-52.18
NIFTY,75,96,42.7,-0.43,-50.12,69.65,-52.68
NIFTYNXT50,20,11,63.6,-7.26,20,20.0,-54.97
NIFTYNXT50,30,11,63.6,-0.9,30,30.0,-54.97
NIFTYNXT50,50,11,54.5,-5.49,19.55,41.04,-61.33
NIFTYNXT50,75,11,54.5,3.6,19.55,57.7,-61.33
NMDC,20,74,60.8,-8.44,20.0,19.7,-52.1
NMDC,30,74,58.1,-4.9,30.0,29.22,-52.24
NMDC,50,74,50.0,-2.16,-3.13,48.01,-52.33
NMDC,75,74,39.2,-5.68,-50.0,66.7,-52.32
NTPC,20,73,68.5,-1.91,20,19.64,-48.76
NTPC,30,73,61.6,-0.98,30,29.38,-49.77
NTPC,50,73,49.3,-2.97,0.0,46.94,-51.53
NTPC,75,73,38.4,-7.12,-50.67,66.57,-52.97
NUVAMA,20,29,62.1,-8.54,20,20.0,-55.24
NUVAMA,30,29,48.3,-14.15,-50.19,30.0,-55.36
NUVAMA,50,29,41.4,-10.02,-50.29,50.0,-52.39
NUVAMA,75,29,34.5,-9.42,-50.64,75.0,-53.86
NYKAA,20,48,62.5,-6.38,20.0,20.0,-50.34
NYKAA,30,48,60.4,-2.43,30.0,29.05,-50.48
NYKAA,50,48,47.9,-4.04,-25.0,47.94,-51.85
NYKAA,75,48,37.5,-5.56,-50.57,69.19,-50.41
OBEROIRLTY,20,64,70.3,-1.78,20.0,20.0,-53.36
OBEROIRLTY,30,64,59.4,-4.36,30.0,30.0,-54.58
OBEROIRLTY,50,64,46.9,-6.44,-25.08,48.05,-54.52
OBEROIRLTY,75,64,35.9,-11.05,-50.86,68.14,-55.48
OFSS,20,54,68.5,-4.3,20.0,19.77,-56.7
OFSS,30,54,63.0,-3.0,30.0,28.82,-57.1
OFSS,50,54,48.1,-6.44,-50.11,46.45,-55.55
OFSS,75,54,40.7,-6.13,-50.83,66.26,-55.9
OIL,20,69,55.1,-12.37,20,20.0,-52.04
OIL,30,69,43.5,-16.72,-50.0,30.0,-52.67
OIL,50,69,37.7,-14.51,-50.29,49.25,-53.07
OIL,75,69,30.4,-16.87,-50.68,67.44,-53.75
ONGC,20,57,61.4,-7.84,20,19.78,-51.77
ONGC,30,57,56.1,-6.79,30,29.14,-52.78
ONGC,50,57,45.6,-7.75,-50.0,46.08,-52.9
ONGC,75,57,38.6,-6.96,-50.41,66.96,-53.43
PAGEIND,20,48,70.8,-0.67,20.0,19.82,-50.44
PAGEIND,30,48,62.5,-1.28,30.0,28.58,-51.04
PAGEIND,50,48,54.2,1.24,21.3,45.98,-51.63
PAGEIND,75,48,43.8,-0.82,-48.82,65.26,-52.21
PATANJALI,20,25,68.0,-2.69,20,20.0,-50.91
PATANJALI,30,25,64.0,-0.16,30,29.93,-53.67
PATANJALI,50,25,56.0,3.72,28.94,46.0,-50.09
PATANJALI,75,25,32.0,-15.47,-50.84,61.75,-51.81
PAYTM,20,64,71.9,-0.24,20.0,20.0,-51.95
PAYTM,30,64,67.2,3.18,30.0,30.0,-51.74
PAYTM,50,64,51.6,0.06,38.81,49.32,-52.37
PAYTM,75,64,40.6,-2.16,-50.29,72.09,-52.97
PERSISTENT,20,59,61.0,-8.27,20,19.61,-51.9
PERSISTENT,30,59,59.3,-3.81,30,29.31,-52.12
PERSISTENT,50,59,49.2,-2.27,-1.89,48.48,-51.34
PERSISTENT,75,59,45.8,4.6,-50.05,72.44,-52.64
PETRONET,20,46,65.2,-3.25,20.0,20.0,-46.85
PETRONET,30,46,52.2,-7.94,18.98,29.08,-48.32
PETRONET,50,46,45.7,-4.59,-31.12,48.0,-48.76
PETRONET,75,46,37.0,-4.77,-50.43,71.06,-49.22
PFC,20,62,71.0,-0.42,20.0,20.0,-50.33
PFC,30,62,67.7,3.78,30.0,29.66,-50.56
PFC,50,62,54.8,3.37,50.0,48.56,-51.52
PFC,75,62,37.1,-7.61,-50.32,68.61,-52.55
PGEL,20,35,65.7,-6.54,20,18.47,-54.46
PGEL,30,35,60.0,-5.17,30,27.37,-53.98
PGEL,50,35,57.1,1.92,25.41,44.01,-54.2
PGEL,75,35,54.3,7.39,4.2,59.48,-54.46
PHOENIXLTD,20,46,67.4,-2.66,20.0,19.2,-47.86
PHOENIXLTD,30,46,60.9,-1.88,30.0,28.4,-49.0
PHOENIXLTD,50,46,47.8,-5.02,0.0,44.95,-50.82
PHOENIXLTD,75,46,39.1,-6.57,-51.33,64.66,-52.36
PIDILITIND,20,35,57.1,-12.17,20,19.3,-54.12
PIDILITIND,30,35,51.4,-11.58,6.03,28.67,-54.2
PIDILITIND,50,35,42.9,-10.23,-32.6,47.07,-53.2
PIDILITIND,75,35,25.7,-21.96,-51.05,67.34,-52.87
PIIND,20,45,60.0,-8.8,20,20.0,-52.01
PIIND,30,45,57.8,-5.31,30,28.97,-52.23
PIIND,50,45,44.4,-7.96,-50.0,47.67,-52.47
PIIND,75,45,31.1,-14.46,-51.06,69.88,-52.55
PNB,20,71,66.2,-4.73,20,19.83,-52.81
PNB,30,71,57.7,-5.48,30,29.43,-53.2
PNB,50,71,49.3,-3.52,-2.56,47.12,-52.77
PNB,75,71,42.3,-1.85,-50.25,69.14,-53.8
PNBHOUSING,20,54,64.8,-6.09,20.0,19.73,-53.66
PNBHOUSING,30,54,53.7,-9.31,30.0,29.32,-54.14
PNBHOUSING,50,54,48.1,-4.86,-36.22,48.11,-54.05
PNBHOUSING,75,54,42.6,-1.12,-50.71,70.69,-54.4
POLICYBZR,20,54,64.8,-5.85,20.0,19.68,-52.88
POLICYBZR,30,54,53.7,-9.5,30.0,29.27,-54.48
POLICYBZR,50,54,42.6,-10.78,-50.24,48.21,-54.55
POLICYBZR,75,54,35.2,-11.45,-50.77,68.89,-55.07
POLYCAB,20,62,74.2,1.19,20.0,19.19,-50.56
POLYCAB,30,62,69.4,4.18,30.0,28.54,-50.95
POLYCAB,50,62,53.2,-0.33,13.29,46.29,-53.37
POLYCAB,75,62,43.5,-0.76,-50.0,67.68,-53.55
POWERGRID,20,63,63.5,-5.63,20,19.58,-49.49
POWERGRID,30,63,52.4,-8.78,22.7,28.77,-50.08
POWERGRID,50,63,46.0,-5.79,-24.24,46.53,-50.42
POWERGRID,75,63,36.5,-8.51,-50.0,65.24,-50.92
POWERINDIA,20,18,55.6,-12.97,20.0,20.0,-54.18
POWERINDIA,30,18,55.6,-7.41,30.0,30.0,-54.18
POWERINDIA,50,18,33.3,-19.87,-50.96,48.37,-53.99
POWERINDIA,75,18,33.3,-12.92,-50.96,69.2,-53.99
PPLPHARMA,20,42,69.0,-3.39,20.0,20.0,-55.58
PPLPHARMA,30,42,64.3,-0.44,30.0,30.0,-55.22
PPLPHARMA,50,42,54.8,2.23,50.0,49.61,-55.12
PPLPHARMA,75,42,50.0,6.84,-15.0,68.96,-55.28
PREMIERENE,20,9,44.4,-18.39,-1.05,20.0,-49.1
PREMIERENE,30,9,33.3,-23.85,-50.95,30.0,-50.78
PREMIERENE,50,9,33.3,-17.19,-50.95,50.0,-50.78
PREMIERENE,75,9,22.2,-22.92,-51.58,75.0,-50.89
PRESTIGE,20,54,74.1,0.61,20.0,20.0,-54.77
PRESTIGE,30,54,66.7,1.94,30.0,30.0,-54.17
PRESTIGE,50,54,57.4,3.52,50.0,47.21,-55.38
PRESTIGE,75,54,46.3,2.03,-50.36,69.54,-56.17
RBLBANK,20,49,51.0,-18.6,5.64,19.43,-58.21
RBLBANK,30,49,46.9,-17.09,-50.83,28.94,-57.81
RBLBANK,50,49,40.8,-15.73,-51.51,45.86,-58.21
RBLBANK,75,49,38.8,-10.71,-51.52,63.97,-58.01
RECLTD,20,72,63.9,-6.3,20.0,20.0,-52.83
RECLTD,30,72,54.2,-7.3,30.0,30.0,-51.38
RECLTD,50,72,45.8,-4.78,-37.02,50.0,-51.12
RECLTD,75,72,36.1,-6.89,-50.91,72.04,-51.51
RELIANCE,20,62,77.4,2.9,20.0,19.34,-53.44
RELIANCE,30,62,72.6,6.7,30.0,28.78,-51.74
RELIANCE,50,62,62.9,10.16,50.0,47.06,-52.42
RELIANCE,75,62,51.6,9.67,4.14,68.29,-52.86
RVNL,20,47,66.0,-5.56,20,20.0,-55.09
RVNL,30,47,59.6,-3.2,30,30.0,-52.12
RVNL,50,47,51.1,-0.92,14.06,48.14,-52.11
RVNL,75,47,42.6,-0.39,-50.0,69.48,-52.14
SAIL,20,62,69.4,-3.09,20.0,19.85,-55.0
SAIL,30,62,62.9,-1.59,30.0,29.58,-54.43
SAIL,50,62,50.0,-3.13,6.58,48.15,-54.42
SAIL,75,62,38.7,-6.53,-51.05,70.01,-54.86
SAMMAANCAP,20,22,59.1,-13.91,20.0,20.0,-62.89
SAMMAANCAP,30,22,59.1,-8.49,30.0,29.16,-62.89
SAMMAANCAP,50,22,50.0,-10.81,-23.87,40.83,-62.44
SAMMAANCAP,75,22,50.0,-1.72,-23.87,59.01,-62.44
SBICARD,20,54,70.4,-1.46,20.0,19.7,-51.71
SBICARD,30,54,70.4,5.39,30.0,29.44,-51.71
SBICARD,50,54,66.7,14.3,50.0,47.34,-51.79
SBICARD,75,54,42.6,-1.83,-50.64,67.58,-53.32
SBILIFE,20,66,59.1,-8.76,20.0,20.0,-50.31
SBILIFE,30,66,50.0,-10.67,15.0,30.0,-51.33
SBILIFE,50,66,34.8,-16.23,-50.8,50.0,-51.65
SBILIFE,75,66,30.3,-13.67,-51.23,74.38,-51.95
SBIN,20,62,67.7,-3.04,20.0,19.59,-50.56
SBIN,30,62,59.7,-4.04,30.0,28.65,-52.43
SBIN,50,62,48.4,-5.61,-0.06,45.49,-53.51
SBIN,75,62,35.5,-11.26,-50.43,64.3,-52.82
SHREECEM,20,44,70.5,0.42,20.0,20.0,-46.27
SHREECEM,30,44,61.4,-1.15,30.0,30.0,-50.63
SHREECEM,50,44,52.3,1.62,47.32,49.77,-51.12
SHREECEM,75,44,36.4,-5.21,-50.25,73.1,-49.96
SHRIRAMFIN,20,60,60.0,-8.73,20.0,19.29,-50.76
SHRIRAMFIN,30,60,56.7,-6.05,30.0,28.66,-51.45
SHRIRAMFIN,50,60,45.0,-7.6,-29.68,46.84,-52.13
SHRIRAMFIN,75,60,36.7,-8.01,-50.56,68.85,-52.51
SIEMENS,20,50,66.0,-3.99,20.0,19.82,-50.21
SIEMENS,30,50,60.0,-3.38,30.0,29.47,-52.64
SIEMENS,50,50,46.0,-7.3,-17.49,47.52,-54.0
SIEMENS,75,50,38.0,-8.08,-51.32,65.35,-53.1
SOLARINDS,20,45,64.4,-6.57,20,19.78,-54.32
SOLARINDS,30,45,55.6,-8.73,30,29.34,-56.32
SOLARINDS,50,45,44.4,-9.78,-50.21,48.18,-56.15
SOLARINDS,75,45,37.8,-8.81,-51.03,69.25,-56.2
SONACOMS,20,56,58.9,-10.28,20.0,19.58,-53.12
SONACOMS,30,56,55.4,-7.47,30.0,29.23,-52.99
SONACOMS,50,56,44.6,-9.01,-50.0,47.04,-54.21
SONACOMS,75,56,37.5,-8.34,-50.58,69.1,-54.8
SRF,20,55,72.7,0.86,20,20.0,-50.19
SRF,30,55,63.6,0.14,30,30.0,-52.11
SRF,50,55,52.7,0.52,36.12,48.43,-52.92
SRF,75,55,43.6,0.05,-50.23,69.45,-53.68
SUNPHARMA,20,50,68.0,-3.74,20.0,19.5,-53.14
SUNPHARMA,30,50,66.0,1.19,30.0,29.18,-53.15
SUNPHARMA,50,50,54.0,1.93,44.03,47.82,-51.94
SUNPHARMA,75,50,50.0,9.38,1.26,70.64,-51.88
SUPREMEIND,20,44,65.9,-3.72,20.0,19.38,-48.39
SUPREMEIND,30,44,59.1,-2.91,30.0,28.93,-48.89
SUPREMEIND,50,44,52.3,0.91,15.34,46.99,-49.55
SUPREMEIND,75,44,47.7,7.02,-28.56,69.32,-49.86
SUZLON,20,32,71.9,-0.47,20.0,20.0,-52.78
SUZLON,30,32,50.0,-11.14,-10.0,30.0,-52.28
SUZLON,50,32,43.8,-7.66,-50.0,49.44,-52.07
SUZLON,75,32,40.6,-1.41,-50.0,72.47,-51.96
SWIGGY,20,10,70.0,-2.43,20.0,20.0,-54.77
SWIGGY,30,10,60.0,-5.32,30.0,30.0,-58.3
SWIGGY,50,10,50.0,-4.54,-0.5,50.0,-59.08
SWIGGY,75,10,40.0,-7.54,-51.39,75.0,-62.57
SYNGENE,20,54,72.2,0.63,20.0,20.0,-49.73
SYNGENE,30,54,64.8,1.68,30.0,30.0,-50.49
SYNGENE,50,54,51.9,0.49,50.0,50.0,-52.82
SYNGENE,75,54,35.2,-9.3,-51.51,73.12,-54.04
TATACONSUM,20,61,63.9,-4.09,20,19.5,-45.91
TATACONSUM,30,61,57.4,-3.42,30,29.15,-47.28
TATACONSUM,50,61,49.2,-1.38,0.0,47.57,-48.74
TATACONSUM,75,61,34.4,-10.55,-50.53,66.92,-51.23
TATAELXSI,20,50,72.0,-1.66,20.0,20.0,-57.35
TATAELXSI,30,50,70.0,3.77,30.0,30.0,-57.43
TATAELXSI,50,50,64.0,11.24,50.0,49.51,-56.79
TATAELXSI,75,50,56.0,14.99,68.44,70.99,-56.28
TATAPOWER,20,60,70.0,-1.7,20.0,19.64,-51.5
TATAPOWER,30,60,55.0,-6.98,30.0,29.24,-51.24
TATAPOWER,50,60,48.3,-2.47,-11.64,48.45,-50.09
TATAPOWER,75,60,41.7,-0.26,-50.09,69.86,-50.34
TATASTEEL,20,63,73.0,0.18,20,19.89,-53.15
TATASTEEL,30,63,60.3,-3.16,30,29.49,-52.8
TATASTEEL,50,63,49.2,-3.97,-6.74,47.36,-53.7
TATASTEEL,75,63,39.7,-5.86,-50.0,67.35,-54.02
TATATECH,20,60,70.0,-2.63,20.0,19.65,-54.61
TATATECH,30,60,61.7,-2.69,30.0,29.33,-54.21
TATATECH,50,60,55.0,2.04,50.0,47.9,-54.01
TATATECH,75,60,51.7,9.86,15.3,70.5,-54.95
TCS,20,54,72.2,0.0,20.0,20.0,-51.99
TCS,30,54,63.0,-0.37,30.0,29.63,-51.36
TCS,50,54,50.0,-1.7,-5.26,48.79,-52.19
TCS,75,54,42.6,1.7,-38.56,72.49,-50.82
TECHM,20,54,63.0,-7.6,20.0,19.56,-53.78
TECHM,30,54,57.4,-6.15,30.0,28.97,-53.48
TECHM,50,54,50.0,-3.02,-3.58,47.33,-53.38
TECHM,75,54,42.6,-0.02,-50.37,69.7,-51.75
TIINDIA,20,42,64.3,-7.75,20.0,19.38,-56.59
TIINDIA,30,42,57.1,-7.38,30.0,28.89,-55.74
TIINDIA,50,42,52.4,-2.97,2.91,44.93,-55.65
TIINDIA,75,42,45.2,-1.08,-50.3,62.62,-53.71
TITAN,20,52,67.3,-3.58,20.0,19.02,-50.1
TITAN,30,52,63.5,-1.06,30.0,28.35,-52.14
TITAN,50,52,55.8,2.2,41.84,46.18,-53.26
TITAN,75,52,53.8,10.76,5.96,65.57,-53.19
TMPV,20,60,61.7,-7.25,20.0,20.0,-51.09
TMPV,30,60,56.7,-4.71,30.0,30.0,-50.11
TMPV,50,60,45.0,-6.02,-24.53,46.51,-49.0
TMPV,75,60,41.7,0.14,-50.0,69.23,-49.21
TORNTPHARM,20,48,75.0,2.11,20.0,19.62,-50.42
TORNTPHARM,30,48,60.4,-4.32,30.0,28.49,-54.39
TORNTPHARM,50,48,41.7,-11.26,-50.27,44.81,-51.31
TORNTPHARM,75,48,31.2,-16.77,-52.05,62.22,-52.67
TORNTPOWER,20,41,65.9,-7.19,20,19.53,-58.74
TORNTPOWER,30,41,58.5,-6.89,30,29.06,-57.65
TORNTPOWER,50,41,51.2,-3.16,7.37,47.97,-56.85
TORNTPOWER,75,41,41.5,-4.05,-51.0,69.53,-56.17
TRENT,20,50,78.0,3.15,20.0,19.21,-53.77
TRENT,30,50,64.0,-0.61,30.0,28.31,-52.03
TRENT,50,50,56.0,1.82,38.43,45.92,-54.32
TRENT,75,50,50.0,5.26,-8.21,64.53,-54.01
TVSMOTOR,20,49,61.2,-7.16,20,20.0,-50.05
TVSMOTOR,30,49,59.2,-2.8,30,30.0,-50.36
TVSMOTOR,50,49,55.1,3.97,50,49.03,-51.32
TVSMOTOR,75,49,40.8,-2.09,-50.2,70.6,-52.22
ULTRACEMCO,20,49,63.3,-6.67,20,20.0,-52.59
ULTRACEMCO,30,49,59.2,-3.96,30,29.67,-52.73
ULTRACEMCO,50,49,53.1,1.14,41.65,48.54,-52.44
ULTRACEMCO,75,49,36.7,-8.43,-50.43,68.62,-53.17
UNIONBANK,20,55,70.9,0.09,20,20.0,-48.45
UNIONBANK,30,55,63.6,0.96,30,29.91,-49.71
UNIONBANK,50,55,52.7,1.26,50,49.2,-52.21
UNIONBANK,75,55,41.8,0.03,-50.0,72.17,-51.81
UNITDSPR,20,48,68.8,-0.82,20.0,19.7,-45.97
UNITDSPR,30,48,62.5,0.75,30.0,29.34,-46.89
UNITDSPR,50,48,43.8,-7.9,-44.8,48.1,-51.45
UNITDSPR,75,48,41.7,-1.74,-50.0,68.03,-51.58
UNOMINDA,20,36,58.3,-10.53,20.0,19.57,-52.66
UNOMINDA,30,36,52.8,-8.7,20.45,29.0,-50.83
UNOMINDA,50,36,41.7,-11.44,-50.45,46.06,-52.52
UNOMINDA,75,36,33.3,-12.98,-50.93,65.91,-52.42
UPL,20,52,73.1,0.94,20.0,20.0,-50.79
UPL,30,52,69.2,4.65,30.0,29.42,-51.1
UPL,50,52,65.4,12.79,50.0,47.61,-52.98
UPL,75,52,48.1,4.68,-30.5,68.75,-54.65
VBL,20,63,74.6,1.54,20,19.6,-51.52
VBL,30,63,63.5,0.03,30,28.97,-50.31
VBL,50,63,55.6,3.44,50,47.68,-51.85
VBL,75,63,50.8,10.46,1.1,70.9,-51.92
VEDL,20,66,60.6,-8.3,20.0,19.35,-50.83
VEDL,30,66,56.1,-6.35,30.0,28.49,-50.79
VEDL,50,66,45.5,-7.6,-50.0,44.87,-51.32
VEDL,75,66,40.9,-4.16,-50.24,65.6,-52.45
VOLTAS,20,58,63.8,-7.62,20.0,19.5,-55.41
VOLTAS,30,58,62.1,-3.05,30.0,29.21,-55.85
VOLTAS,50,58,50.0,-3.71,-24.17,48.33,-55.75
VOLTAS,75,58,37.9,-7.82,-50.49,70.19,-55.49
WAAREEENER,20,9,66.7,-4.75,20,20.0,-54.25
WAAREEENER,30,9,44.4,-17.36,-51.08,30.0,-55.24
WAAREEENER,50,9,44.4,-10.7,-51.08,44.97,-55.24
WAAREEENER,75,9,33.3,-18.83,-51.94,59.95,-58.22
WIPRO,20,53,66.0,-3.97,20,20.0,-50.57
WIPRO,30,53,62.3,-0.04,30,30.0,-49.6
WIPRO,50,53,49.1,-0.81,-2.88,50.0,-49.74
WIPRO,75,53,34.0,-9.65,-50.42,74.0,-52.67
YESBANK,20,64,68.8,-0.74,20.0,19.62,-45.53
YESBANK,30,64,64.1,1.73,30.0,28.72,-46.39
YESBANK,50,64,53.1,2.48,27.14,47.28,-48.29
YESBANK,75,64,39.1,-3.17,-50.0,69.3,-49.62
ZYDUSLIFE,20,52,69.2,-3.63,20.0,20.0,-56.79
ZYDUSLIFE,30,52,65.4,-0.19,30.0,30.0,-57.23
ZYDUSLIFE,50,52,51.9,-1.83,37.61,49.08,-56.81
ZYDUSLIFE,75,52,38.5,-8.12,-50.71,69.52,-56.65
