underlying,target,n_trades,win_rate,avg_ret,median_ret,avg_win,avg_loss
BAJAJFINSV,50,67,47.8,-8.14,-50.0,44.78,-56.53
BAJAJFINSV,75,67,38.8,-9.94,-50.85,63.77,-56.69
BAJAJHLDNG,20,6,83.3,7.29,20.0,20.0,-56.25
BAJAJHLDNG,30,6,66.7,2.15,30.0,30.0,-53.56
BAJAJHLDNG,50,6,50.0,2.37,10.67,45.94,-41.19
BAJAJHLDNG,75,6,33.3,-11.51,-33.66,56.4,-45.47
BAJFINANCE,20,57,66.7,-6.66,20,19.11,-58.2
BAJFINANCE,30,57,61.4,-4.06,30,28.17,-55.33
BAJFINANCE,50,57,50.9,-4.82,3.57,45.37,-56.79
BAJFINANCE,75,57,43.9,-3.33,-50.06,65.63,-57.21
BANDHANBNK,20,67,71.6,-1.9,20,19.75,-56.59
BANDHANBNK,30,67,67.2,1.17,30,29.24,-56.25
BANDHANBNK,50,67,59.7,5.7,50,47.42,-56.1
BANDHANBNK,75,67,52.2,8.11,17.83,67.1,-56.42
BANKBARODA,20,71,60.6,-8.11,20,19.44,-50.42
BANKBARODA,30,71,54.9,-7.15,30,28.87,-51.05
BANKBARODA,50,71,40.8,-11.72,-50.22,47.1,-52.32
BANKBARODA,75,71,36.6,-8.55,-50.41,67.05,-52.23
BANKINDIA,20,50,66.0,-5.38,20.0,20.0,-54.65
BANKINDIA,30,50,58.0,-4.35,30.0,30.0,-51.79
BANKINDIA,50,50,52.0,-0.28,21.03,47.76,-52.32
BANKINDIA,75,50,50.0,7.59,8.03,67.53,-52.34
BANKNIFTY,20,64,68.8,-3.14,20.0,19.2,-52.28
BANKNIFTY,30,64,60.9,-3.15,30.0,28.58,-52.64
BANKNIFTY,50,64,46.9,-6.38,-50.04,46.82,-53.31
BANKNIFTY,75,64,39.1,-6.45,-50.3,67.05,-53.57
BDL,20,44,77.3,2.62,20.0,19.87,-56.02
BDL,30,44,75.0,8.3,30.0,29.56,-55.48
BDL,50,44,56.8,2.53,50.0,47.42,-56.53
BDL,75,44,52.3,8.97,17.77,68.88,-56.64
