avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_delta_pct,median_return_pct,min_return_pct,opportunities,positive_underlyings,regime_model,score,spot_timeframe,timeframe,win_rate,win_rate_delta_pct
120.7143,-64.7873,-9.7465,-23.4395,7.5713,monthly_expiry_day,53.85,10.0,115.0,0.5438,0.285,-97.6744,7,1,macd_bias,-11.430416,15m,5m,0.5714,10.99
2440.2941,-61.8742,2.0847,-5.8729,43.9061,monthly_series,44.74,158.0537,1275.0,-2.223,7.5477,-99.998,34,1,macd_bias,3.209614,15m,10m,0.5294,-8.9
2033.2143,-55.204,9.501,0.9939,35.5772,monthly_series,56.76,149.5619,1207.5,2.5675,11.5515,-99.998,42,1,macd_bias,15.226258,15m,15m,0.619,3.79
2493.0612,-64.7854,-0.7678,-3.2749,26.5484,monthly_series,84.48,80.3803,930.0,-0.5153,9.5515,-99.998,49,1,macd_bias,9.763254,15m,30m,0.6735,0.11
2919.1915,-69.1687,3.9013,0.958,40.6965,monthly_series,56.63,191.6225,1224.0,1.3872,10.7938,-99.9986,47,1,macd_bias,15.460549,15m,3m,0.6383,-0.03
2468.5526,-66.216,7.3043,5.0866,37.9955,monthly_series,43.68,191.0163,992.5,1.072,11.8595,-99.9974,38,1,macd_bias,21.792771,15m,5m,0.6842,0.6
80.537,-46.6403,1.9644,-5.9916,9.6426,weekly_expiry_day,45.57,10.0,20.5,0.0,10.0,-99.9762,108,0,macd_bias,1.708276,15m,1m,0.7222,-1.2
77.8,-23.4767,3.3621,-3.4912,9.8325,weekly_expiry_day,42.86,10.0,39.0,0.0,10.0,-99.6904,45,0,macd_bias,4.030181,15m,3m,0.6,-4.76
72.2,-8.1202,1.782,1.0548,8.2638,weekly_expiry_day,47.17,10.0,50.0,-7.8412,2.1588,-23.4332,25,1,macd_bias,5.989909,15m,5m,0.56,-10.04
940.3061,-70.4388,-0.8834,-3.3195,30.7565,weekly_series,42.98,196.7389,415.0,-1.2687,8.6482,-99.9953,98,0,macd_bias,4.166904,15m,10m,0.6633,-2.97
769.95,-81.629,4.5117,1.0361,30.0805,weekly_series,55.25,172.3831,307.5,1.188,11.3638,-99.9953,100,1,macd_bias,22.182952,15m,15m,0.74,6.04
750.6667,-57.2818,1.4504,-5.4712,25.9852,weekly_series,85.71,116.25,360.0,0.6406,6.9058,-99.9963,90,1,macd_bias,4.719197,15m,30m,0.6222,2.22
993.825,-70.3366,-1.9484,-3.9478,25.1868,weekly_series,60.79,194.6341,553.5,-0.36,10.1156,-99.9972,200,0,macd_bias,5.774022,15m,3m,0.695,-2.54
