avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_pct,min_return_pct,opportunities,regime_model,spot_timeframe,timeframe,underlying,win_rate
1262.8571,-19.8115,49.3828,42.3469,52.7066,monthly_series,41.18,149.5502,1340.0,19.5844,-19.8115,7,ema_alignment,15m,10m,NIFTY,0.8571
2180.6897,-62.1555,-4.1481,-12.3712,34.0942,monthly_series,49.15,158.0537,960.0,4.8552,-99.998,29,ema_alignment,15m,10m,SENSEX,0.5172
2180.0,-39.9877,29.3008,20.3608,50.5351,monthly_series,56.25,149.5619,1500.0,16.7761,-98.1833,9,ema_alignment,15m,15m,NIFTY,0.6667
2064.6774,-58.7155,3.4371,-4.9506,33.8795,monthly_series,53.45,144.127,960.0,8.6739,-99.998,31,ema_alignment,15m,15m,SENSEX,0.5806
4440.0,-66.5747,7.8387,-16.2851,13.8887,monthly_series,66.67,33.7134,1260.0,3.6733,-99.987,8,ema_alignment,15m,30m,NIFTY,0.625
1978.6047,-65.2837,1.8766,5.0086,29.1716,monthly_series,93.48,80.3803,870.0,11.5048,-99.998,43,ema_alignment,15m,30m,SENSEX,0.7442
2779.3333,0.0,52.2586,54.1354,54.1354,monthly_series,52.94,191.6225,2031.0,13.4548,2.2699,9,ema_alignment,15m,3m,NIFTY,1.0
2847.2812,-68.3341,-3.9284,-8.1132,38.7252,monthly_series,48.48,172.1161,1075.5,9.3843,-99.9986,32,ema_alignment,15m,3m,SENSEX,0.5625
2931.0,-58.9962,22.8631,22.0472,42.308,monthly_series,50.0,144.4495,1430.0,16.7213,-98.1809,10,ema_alignment,15m,5m,NIFTY,0.8
2059.6774,-67.4784,3.7944,1.1582,33.8423,monthly_series,46.27,191.0163,860.0,12.7946,-99.9966,31,ema_alignment,15m,5m,SENSEX,0.6774
61.3824,-35.5754,6.0127,0.0693,9.3106,weekly_expiry_day,43.59,10.0,14.0,10.0,-99.835,34,ema_alignment,15m,1m,NIFTY,0.7941
117.3659,-28.7974,3.5769,-5.3664,9.6295,weekly_expiry_day,25.79,10.0,86.0,10.0,-99.9762,41,ema_alignment,15m,1m,SENSEX,0.6098
56.0,-29.6562,9.1159,-3.2187,10.0,weekly_expiry_day,45.45,10.0,36.0,10.0,-99.6904,15,ema_alignment,15m,3m,NIFTY,0.6667
89.4643,-19.7024,0.3892,-3.9519,9.6985,weekly_expiry_day,38.89,10.0,61.5,7.7386,-97.9592,28,ema_alignment,15m,3m,SENSEX,0.5357
40.625,-3.001,10.3925,5.5455,8.3943,weekly_expiry_day,47.06,10.0,5.0,10.0,-5.7903,8,ema_alignment,15m,5m,NIFTY,0.75
84.6875,-6.7611,-1.5633,-0.3451,7.9039,weekly_expiry_day,44.44,10.0,75.0,-0.6332,-21.1212,16,ema_alignment,15m,5m,SENSEX,0.4375
967.7419,-70.0523,7.7011,-0.7644,37.344,weekly_series,44.93,196.7389,540.0,7.1703,-99.9803,31,ema_alignment,15m,10m,NIFTY,0.6452
928.0519,-65.7857,-1.6216,-1.4412,25.9647,weekly_series,48.43,131.3139,410.0,7.7594,-99.9953,77,ema_alignment,15m,10m,SENSEX,0.7013
668.2759,-80.9476,19.0283,11.6717,35.8333,weekly_series,52.73,172.3831,210.0,14.1017,-99.9938,29,ema_alignment,15m,15m,NIFTY,0.7931
783.75,-63.0532,3.9001,2.1186,27.1847,weekly_series,57.14,111.4404,375.0,11.9455,-99.9979,72,ema_alignment,15m,15m,SENSEX,0.7222
844.4444,-59.3852,-4.0766,-23.1911,10.4177,weekly_series,93.1,33.2606,360.0,0.7912,-99.9938,27,ema_alignment,15m,30m,NIFTY,0.5185
770.8696,-58.5109,0.9611,-1.308,29.2003,weekly_series,90.79,116.25,420.0,7.7378,-99.9971,69,ema_alignment,15m,30m,SENSEX,0.6522
1006.5,-79.289,-1.5929,-6.248,26.9525,weekly_series,64.65,194.6341,537.0,9.8139,-99.9911,64,ema_alignment,15m,3m,NIFTY,0.6875
966.777,-69.2726,-4.9597,-5.816,22.6072,weekly_series,60.43,109.4609,498.0,10.1055,-99.9972,139,ema_alignment,15m,3m,SENSEX,0.6906
1007.1429,-88.5771,-2.4473,-1.5684,29.8514,weekly_series,51.04,114.8905,590.0,13.7796,-99.9849,49,ema_alignment,15m,5m,NIFTY,0.7347
1030.3982,-70.275,-5.1805,-3.4642,27.7721,weekly_series,54.85,142.4583,555.0,8.4863,-99.9963,113,ema_alignment,15m,5m,SENSEX,0.6814
98.2,-66.9456,-10.0943,-21.7308,8.4123,monthly_expiry_day,50.0,10.0,58.0,5.237,-99.9521,10,macd_bias,15m,1m,NIFTY,0.6
139.3333,-46.7723,2.5164,-13.3228,8.9769,monthly_expiry_day,35.71,10.0,110.0,10.0,-99.9858,15,macd_bias,15m,1m,SENSEX,0.6
122.0,0.0,0.0969,6.72,6.72,monthly_expiry_day,50.0,10.0,105.0,10.0,0.16,3,macd_bias,15m,3m,NIFTY,1.0
84.0,-11.644,0.2959,3.3746,8.3808,monthly_expiry_day,47.06,10.0,46.5,10.0,-12.8432,8,macd_bias,15m,3m,SENSEX,0.75
106.6667,-0.2588,1.85,6.5804,10.0,monthly_expiry_day,75.0,10.0,100.0,10.0,-0.2588,3,macd_bias,15m,5m,NIFTY,0.6667
131.25,-97.0515,-24.0732,-45.9545,5.1425,monthly_expiry_day,44.44,10.0,132.5,-48.0718,-97.6744,4,macd_bias,15m,5m,SENSEX,0.5
1690.0,-19.8115,52.734,45.6981,58.8,monthly_series,35.29,149.5502,1560.0,21.6931,-19.8115,6,macd_bias,15m,10m,NIFTY,0.8333
2601.0714,-64.6783,-8.7007,-16.9238,38.1776,monthly_series,47.46,158.0537,1035.0,-7.2766,-99.998,28,macd_bias,15m,10m,SENSEX,0.4643
2550.0,-39.9877,30.8527,21.9127,68.338,monthly_series,43.75,149.5619,1500.0,18.8825,-98.1833,7,macd_bias,15m,15m,NIFTY,0.5714
1929.8571,-58.7155,5.1978,-3.1899,29.6207,monthly_series,60.34,144.127,960.0,10.9342,-99.998,35,macd_bias,15m,15m,SENSEX,0.6286
4458.0,-74.9273,1.1385,-22.9853,11.6426,monthly_series,83.33,33.7134,1260.0,0.9824,-99.987,10,macd_bias,15m,30m,NIFTY,0.6
1989.2308,-61.4048,-1.3529,1.7791,29.8608,monthly_series,84.78,80.3803,930.0,10.3774,-99.998,39,macd_bias,15m,30m,SENSEX,0.6923
3239.5714,0.0,62.8301,64.7069,64.7069,monthly_series,41.18,191.6225,2088.0,13.4548,2.2699,7,macd_bias,15m,3m,NIFTY,1.0
2863.125,-69.1687,-6.0132,-10.198,33.389,monthly_series,60.61,172.1161,1131.0,9.3843,-99.9986,40,macd_bias,15m,3m,SENSEX,0.575
2595.0,-19.8115,36.971,36.1551,44.1503,monthly_series,40.0,144.4495,1752.5,14.9034,-19.8115,8,macd_bias,15m,5m,NIFTY,0.875
2434.8333,-70.4346,-0.5621,-3.1983,35.728,monthly_series,44.78,191.0163,907.5,10.8765,-99.9974,30,macd_bias,15m,5m,SENSEX,0.6333
67.8605,-53.896,0.6509,-5.2925,9.4359,weekly_expiry_day,55.13,10.0,14.0,10.0,-99.9508,43,macd_bias,15m,1m,NIFTY,0.7674
88.9231,-43.0125,2.4893,-6.454,9.7941,weekly_expiry_day,40.88,10.0,29.0,10.0,-99.9762,65,macd_bias,15m,1m,SENSEX,0.6923
61.5882,-27.902,8.9574,-3.3772,10.0,weekly_expiry_day,51.52,10.0,39.0,10.0,-99.6904,17,macd_bias,15m,3m,NIFTY,0.6471
87.6429,-21.264,0.7807,-3.5604,9.7173,weekly_expiry_day,38.89,10.0,45.0,10.0,-97.9592,28,macd_bias,15m,3m,SENSEX,0.5714
51.0,-9.8117,7.9401,3.0931,8.6237,weekly_expiry_day,58.82,10.0,22.5,10.0,-23.4332,10,macd_bias,15m,5m,NIFTY,0.7
86.3333,-7.4859,-1.5222,-0.304,7.9039,weekly_expiry_day,41.67,10.0,85.0,-0.5197,-21.1212,15,macd_bias,15m,5m,SENSEX,0.4667
927.6,-84.2766,7.4789,-0.9866,38.2087,weekly_series,36.23,196.7389,490.0,10.4962,-99.9803,25,macd_bias,15m,10m,NIFTY,0.68
944.6575,-66.0107,-4.2989,-4.1185,28.1171,weekly_series,45.91,131.3139,390.0,7.7594,-99.9953,73,macd_bias,15m,10m,SENSEX,0.6575
852.4138,-96.444,13.1031,5.7465,38.2616,weekly_series,52.73,172.3831,210.0,11.3053,-99.9826,29,macd_bias,15m,15m,NIFTY,0.7586
736.2676,-76.1708,0.8936,-0.8879,26.6193,weekly_series,56.35,111.4404,330.0,11.4224,-99.9953,71,macd_bias,15m,15m,SENSEX,0.7324
813.913,-58.9813,-3.5292,-22.6437,10.6657,weekly_series,79.31,33.2606,330.0,2.2143,-99.9864,23,macd_bias,15m,30m,NIFTY,0.5217
728.9552,-56.469,2.6929,0.4238,30.1632,weekly_series,88.16,116.25,360.0,8.2734,-99.9963,67,macd_bias,15m,30m,SENSEX,0.6567
1088.65,-82.49,-0.3985,-5.0536,28.1334,weekly_series,60.61,194.6341,594.0,10.1052,-99.9911,60,macd_bias,15m,3m,NIFTY,0.7
953.1857,-65.2491,-2.6176,-3.4739,23.9109,weekly_series,60.87,109.4609,532.5,10.1758,-99.9972,140,macd_bias,15m,3m,SENSEX,0.6929
1161.7073,-89.3918,-9.8449,-8.966,32.7362,weekly_series,42.71,114.8905,685.0,12.6922,-99.9849,41,macd_bias,15m,5m,NIFTY,0.6585
1007.0673,-69.2784,-5.6474,-3.9311,27.809,weekly_series,50.49,142.4583,572.5,7.9889,-99.9961,104,macd_bias,15m,5m,SENSEX,0.6731
95.8889,-64.2608,-4.1756,-15.8121,8.4123,monthly_expiry_day,45.0,10.0,33.0,10.0,-99.9521,9,ema_macd_agree,15m,1m,NIFTY,0.6667
152.1667,-45.8143,1.816,-14.0232,8.6846,monthly_expiry_day,28.57,10.0,133.0,5.3963,-99.9858,12,ema_macd_agree,15m,1m,SENSEX,0.5833
55.5,0.0,3.3769,10.0,10.0,monthly_expiry_day,33.33,10.0,55.5,10.0,10.0,2,ema_macd_agree,15m,3m,NIFTY,1.0
72.0,-11.644,0.7373,3.816,10.0,monthly_expiry_day,41.18,10.0,30.0,10.0,-12.8432,7,ema_macd_agree,15m,3m,SENSEX,0.7143
106.6667,-0.2588,1.85,6.5804,10.0,monthly_expiry_day,75.0,10.0,100.0,10.0,-0.2588,3,ema_macd_agree,15m,5m,NIFTY,0.6667
