exp,opt_type,entry_date,month,entry_time,ep,spot_poc_rev,ibr,ibr_tgt_pct,ibr_sl_pct,rA,rB,rC,reason_B,reason_C,poc_alloc
2025-11-20,PE,2025-11-14,2025-11,2025-11-14 13:45:00+05:30,286.2,False,124.5,57.8,-72.7,-99.9825,-72.74633123689728,-72.7463,hard_sl,hard_sl_ibr,0.1
2025-12-04,CE,2025-11-21,2025-11,2025-11-21 12:25:00+05:30,983.0,False,171.7,21.9,-30.5,-99.9949,-30.488301119023404,-30.4883,hard_sl,hard_sl_ibr,0.1
2025-12-04,PE,2025-11-21,2025-11,2025-11-21 09:20:00+05:30,547.55,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-12-04,PE,2025-11-25,2025-11,2025-11-25 10:45:00+05:30,646.05,True,376.2,74.4,-80.0,30.0,-80.0,11.9939,hard_sl,trail_stop,0.35
2025-12-04,PE,2025-11-27,2025-11,2025-11-27 12:35:00+05:30,260.15,True,115.8,71.7,-61.9,30.0,-61.8873726696137,23.394,hard_sl,trail_stop,0.35
2025-12-04,PE,2025-11-28,2025-11,2025-11-28 12:55:00+05:30,200.4,True,102.9,87.8,-66.2,30.0,87.79940119760477,31.3907,target_hit,trail_stop,0.35
2025-12-04,PE,2025-12-03,2025-12,2025-12-03 09:30:00+05:30,388.05,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-12-04,PE,2025-12-03,2025-12,2025-12-03 12:55:00+05:30,450.7,True,282.5,79.3,-80.0,-92.4229,-80.0,-92.4229,hard_sl,hold_to_end,0.35
2025-12-11,CE,2025-11-28,2025-11,2025-11-28 09:30:00+05:30,927.3,False,0.0,30.0,-50.0,-99.9946,-99.9946,-99.9946,end,end,0.1
2025-12-11,PE,2025-11-27,2025-11,2025-11-27 11:55:00+05:30,503.65,True,78.4,16.4,-30.3,30.0,16.40027797081307,-4.804,target_hit,trail_stop,0.35
2025-12-11,PE,2025-12-03,2025-12,2025-12-03 09:20:00+05:30,646.2,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-12-11,PE,2025-12-03,2025-12,2025-12-03 13:00:00+05:30,815.0,True,235.5,36.2,-50.5,30.0,-50.48466257668712,-50.4847,hard_sl,hard_sl_ibr,0.35
2025-12-11,PE,2025-12-09,2025-12,2025-12-09 14:25:00+05:30,915.0,True,418.5,71.4,-65.8,30.0,-14.3497,19.6929,end,trail_stop,0.35
2025-12-18,CE,2025-12-04,2025-12,2025-12-04 15:00:00+05:30,973.7,False,187.2,19.6,-38.1,30.0,19.585087809386877,4.1527,target_hit,trail_stop,0.1
2025-12-18,CE,2025-12-05,2025-12,2025-12-05 15:20:00+05:30,1213.4,False,223.5,15.0,-45.3,-99.9918,-45.277731992747654,-6.8996,hard_sl,trail_stop,0.1
2025-12-18,PE,2025-12-04,2025-12,2025-12-04 12:25:00+05:30,447.05,True,132.3,52.7,-36.1,30.0,-36.148081870036904,-36.1481,hard_sl,hard_sl_ibr,0.35
2025-12-18,PE,2025-12-09,2025-12,2025-12-09 14:25:00+05:30,588.6,True,271.2,75.9,-62.3,30.0,-62.30886850152905,26.1184,hard_sl,trail_stop,0.35
2025-12-18,PE,2025-12-15,2025-12,2025-12-15 09:15:00+05:30,318.0,False,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.1
2025-12-18,PE,2025-12-16,2025-12,2025-12-16 09:15:00+05:30,324.4,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-12-18,PE,2025-12-16,2025-12,2025-12-16 14:30:00+05:30,393.3,False,160.7,51.7,-70.9,30.0,51.70353419781336,5.9888,target_hit,trail_stop,0.1
2025-12-18,PE,2025-12-18,2025-12,2025-12-18 09:20:00+05:30,589.85,False,0.0,30.0,-50.0,-12.1811,-12.1811,-12.1811,end,end,0.1
