variant_key,group_name,indicator,timeframe,exit_name,expiry_day_only,score,opportunities,win_rate,avg_return_pct,median_return_pct,avg_win_return_pct,avg_loss_return_pct,max_realized_return_pct,avg_holding_minutes,median_holding_minutes,avg_max_possible_return_pct,max_possible_return_pct
weekly_series|series|10m|rsi_50_cross|trail_after_20pct_dd10pct,weekly_series,rsi_50_cross,10m,trail_after_20pct_dd10pct,False,21.174958,287,0.6899,-3.0708,11.0804,27.0716,-70.1292,145.6645,1022.23,540.0,91.7157,978.9981
weekly_series|series|10m|rsi_50_cross|trail_after_30pct_dd15pct,weekly_series,rsi_50_cross,10m,trail_after_30pct_dd15pct,False,28.069815,245,0.6531,-2.4175,14.6231,35.5728,-73.9287,204.9023,1269.1837,810.0,94.4494,978.9981
weekly_series|series|15m|rsi_50_cross|target_30pct,weekly_series,rsi_50_cross,15m,target_30pct,False,55.526866,228,0.6667,-6.6809,30.0,29.137,-78.3167,30.0,1177.1711,750.0,90.7143,850.8537
weekly_series|series|15m|rsi_50_cross|trail_after_20pct_dd10pct,weekly_series,rsi_50_cross,15m,trail_after_20pct_dd10pct,False,17.214885,280,0.6857,-4.2857,10.2782,24.9264,-68.0211,201.2292,970.125,495.0,88.6791,850.8537
weekly_series|series|15m|rsi_50_cross|trail_after_30pct_dd15pct,weekly_series,rsi_50_cross,15m,trail_after_30pct_dd15pct,False,23.020373,229,0.6507,-4.1563,13.6135,33.765,-74.7846,214.6489,1283.1878,930.0,91.0297,850.8537
weekly_series|series|30m|rsi_50_cross|target_30pct,weekly_series,rsi_50_cross,30m,target_30pct,False,46.907013,172,0.6337,-9.0905,30.0,29.082,-75.1351,30.0,1111.7442,690.0,99.3019,750.2726
weekly_series|series|30m|rsi_50_cross|trail_after_20pct_dd10pct,weekly_series,rsi_50_cross,30m,trail_after_20pct_dd10pct,False,6.849183,195,0.6154,-6.4842,7.8372,25.6564,-57.9092,108.8679,914.4615,480.0,96.1816,750.2726
weekly_series|series|30m|rsi_50_cross|trail_after_30pct_dd15pct,weekly_series,rsi_50_cross,30m,trail_after_30pct_dd15pct,False,11.102136,172,0.5814,-4.9588,9.4817,40.4703,-68.0549,231.6004,1231.5698,945.0,99.3659,750.2726
weekly_series|series|3m|roc_zero|target_30pct,weekly_series,roc_zero,3m,target_30pct,False,57.661776,276,0.6594,-6.1284,30.0,28.8536,-73.8594,30.0,1367.5761,741.0,93.6475,929.2891
weekly_series|series|3m|roc_zero|trail_after_20pct_dd10pct,weekly_series,roc_zero,3m,trail_after_20pct_dd10pct,False,23.060325,345,0.7159,-2.3511,10.7501,25.1537,-71.6743,205.0604,1101.0174,570.0,91.3366,929.2891
weekly_series|series|3m|roc_zero|trail_after_30pct_dd15pct,weekly_series,roc_zero,3m,trail_after_30pct_dd15pct,False,29.742479,261,0.6513,-0.3274,13.8867,40.3548,-76.3272,368.3508,1468.2644,1095.0,94.2199,929.2891
weekly_series|series|5m|roc_zero|target_30pct,weekly_series,roc_zero,5m,target_30pct,False,57.407081,277,0.657,-6.1836,30.0,28.9526,-73.4973,30.0,1333.9531,720.0,92.6973,1180.5
weekly_series|series|5m|roc_zero|trail_after_20pct_dd10pct,weekly_series,roc_zero,5m,trail_after_20pct_dd10pct,False,22.446817,339,0.6991,-1.7768,10.3652,26.8183,-68.2185,293.3333,1098.4808,575.0,90.9052,1180.5
weekly_series|series|5m|roc_zero|trail_after_30pct_dd15pct,weekly_series,roc_zero,5m,trail_after_30pct_dd15pct,False,27.773784,260,0.6538,-0.6556,13.1607,39.6949,-76.8731,334.0417,1449.1923,1067.5,95.8849,1180.5
weekly_series|series|10m|roc_zero|target_30pct,weekly_series,roc_zero,10m,target_30pct,False,51.258173,251,0.6375,-8.6468,30.0,28.9384,-74.7306,30.0,1386.3745,1000.0,93.0305,1194.2514
