avg_entry_macd_pct,avg_holding_minutes,avg_loss_return_pct,avg_max_possible_return_pct,avg_return_pct,avg_win_return_pct,cross_location,exit_name,expiry_day_only,group_name,max_possible_return_pct,max_realized_return_pct,median_entry_macd_pct,median_holding_minutes,median_return_pct,opportunities,score,timeframe,variant_key,win_rate
-583.713,61.8902,-59.799,38.4776,-16.9352,9.1192,below_zero,target_10pct,True,weekly_expiry_day,300.0,10.0,-14.1988,32.5,10.0,82,-16.933955,5m,weekly_expiry_day|expiry_day|5m|target_10pct|below_zero,0.622
3.106,36.5,-13.7728,25.8461,5.2504,8.6074,above_zero,target_10pct,True,weekly_expiry_day,133.3276,10.0,2.0446,30.0,10.0,20,18.503706,5m,weekly_expiry_day|expiry_day|5m|target_10pct|above_zero,0.85
0.3764,16.6667,-0.5197,154.4248,6.4934,10.0,zero_straddle,target_10pct,True,weekly_expiry_day,440.107,10.0,0.4489,20.0,10.0,3,7.297855,5m,weekly_expiry_day|expiry_day|5m|target_10pct|zero_straddle,0.6667
-619.2976,79.1558,-62.7136,38.9104,-20.5044,16.5573,below_zero,target_20pct,True,weekly_expiry_day,300.0,20.0,-14.0897,75.0,0.9322,77,-27.676416,5m,weekly_expiry_day|expiry_day|5m|target_20pct|below_zero,0.5325
3.3197,53.8889,-13.7728,27.6772,9.7609,14.4677,above_zero,target_20pct,True,weekly_expiry_day,133.3276,20.0,2.2695,35.0,14.9873,18,29.078754,5m,weekly_expiry_day|expiry_day|5m|target_20pct|above_zero,0.8333
0.3764,16.6667,-0.5197,154.4248,13.1601,20.0,zero_straddle,target_20pct,True,weekly_expiry_day,440.107,20.0,0.4489,20.0,20.0,3,14.691813,5m,weekly_expiry_day|expiry_day|5m|target_20pct|zero_straddle,0.6667
-583.713,65.061,-43.3642,38.4776,-20.0181,14.6474,below_zero,trail_after_10pct_dd5pct,True,weekly_expiry_day,300.0,101.5873,-14.1988,32.5,-2.1732,82,-22.902711,5m,weekly_expiry_day|expiry_day|5m|trail_after_10pct_dd5pct|below_zero,0.4024
3.106,44.0,-10.3296,25.8461,7.9333,12.4991,above_zero,trail_after_10pct_dd5pct,True,weekly_expiry_day,133.3276,36.0345,2.0446,30.0,7.9385,20,19.327554,5m,weekly_expiry_day|expiry_day|5m|trail_after_10pct_dd5pct|above_zero,0.8
0.3764,16.6667,-0.5197,154.4248,16.5269,25.0501,zero_straddle,trail_after_10pct_dd5pct,True,weekly_expiry_day,440.107,43.8503,0.4489,20.0,6.25,3,11.475524,5m,weekly_expiry_day|expiry_day|5m|trail_after_10pct_dd5pct|zero_straddle,0.6667
3.8007,102.8214,-50.7673,58.9471,-7.8361,9.3363,above_zero,target_10pct,True,monthly_expiry_day,456.6176,10.0,2.4036,32.5,10.0,28,-1.687674,1m,monthly_expiry_day|expiry_day|1m|target_10pct|above_zero,0.7143
-5.7077,93.94,-77.1877,51.8527,-18.2232,9.5248,below_zero,target_10pct,True,monthly_expiry_day,676.4103,10.0,-4.1527,22.5,10.0,50,-18.538816,1m,monthly_expiry_day|expiry_day|1m|target_10pct|below_zero,0.68
0.1538,299.0,-12.3039,13.4638,-1.152,10.0,zero_straddle,target_10pct,True,monthly_expiry_day,26.3123,10.0,0.1538,299.0,-1.152,2,-0.632801,1m,monthly_expiry_day|expiry_day|1m|target_10pct|zero_straddle,0.5
4.8688,152.6316,-60.4722,76.7702,-14.7182,18.5574,above_zero,target_20pct,True,monthly_expiry_day,456.6176,20.0,3.7113,113.0,20.0,19,-1.441006,1m,monthly_expiry_day|expiry_day|1m|target_20pct|above_zero,0.5789
-4.9484,120.6667,-72.2217,52.3254,-15.993,18.6093,below_zero,target_20pct,True,monthly_expiry_day,676.4103,20.0,-3.1777,52.0,20.0,42,-3.715314,1m,monthly_expiry_day|expiry_day|1m|target_20pct|below_zero,0.619
0.1538,301.0,-12.3039,13.4638,3.848,20.0,zero_straddle,target_20pct,True,monthly_expiry_day,26.3123,20.0,0.1538,301.0,3.848,2,2.11373,1m,monthly_expiry_day|expiry_day|1m|target_20pct|zero_straddle,0.5
3.8454,98.8148,-49.321,60.9146,-6.7503,11.1742,above_zero,trail_after_10pct_dd5pct,True,monthly_expiry_day,456.6176,44.2581,2.2128,32.0,5.2942,27,-4.531466,1m,monthly_expiry_day|expiry_day|1m|trail_after_10pct_dd5pct|above_zero,0.7037
-5.6008,97.7059,-57.5435,50.836,-18.4692,11.1734,below_zero,trail_after_10pct_dd5pct,True,monthly_expiry_day,676.4103,29.4118,-4.0384,31.0,3.6489,51,-21.617438,1m,monthly_expiry_day|expiry_day|1m|trail_after_10pct_dd5pct|below_zero,0.5686
0.1538,313.5,-12.3039,13.4638,5.7544,23.8127,zero_straddle,trail_after_10pct_dd5pct,True,monthly_expiry_day,26.3123,23.8127,0.1538,313.5,5.7544,2,3.160927,1m,monthly_expiry_day|expiry_day|1m|trail_after_10pct_dd5pct|zero_straddle,0.5
-26.1962,88.8462,-54.9559,59.2239,-17.2997,8.8959,below_zero,target_10pct,True,monthly_expiry_day,613.2924,10.0,-9.7994,54.0,10.0,39,-13.878228,3m,monthly_expiry_day|expiry_day|3m|target_10pct|below_zero,0.5897
2.6765,22.8,-0.4385,25.3324,7.9123,10.0,above_zero,target_10pct,True,monthly_expiry_day,108.8276,10.0,1.7092,21.0,10.0,10,16.780241,3m,monthly_expiry_day|expiry_day|3m|target_10pct|above_zero,0.8
0.0061,246.0,-22.0081,0.0,-22.0081,0.0,zero_straddle,target_10pct,True,monthly_expiry_day,0.0,-22.0081,0.0061,246.0,-22.0081,1,-0.152549,3m,monthly_expiry_day|expiry_day|3m|target_10pct|zero_straddle,0.0
-27.21,102.3429,-59.9556,64.6623,-18.1338,17.0845,below_zero,target_20pct,True,monthly_expiry_day,613.2924,20.0,-8.9401,54.0,1.2311,35,-20.209464,3m,monthly_expiry_day|expiry_day|3m|target_20pct|below_zero,0.5429
2.8704,77.3333,-48.652,26.6616,-18.4595,19.2812,above_zero,target_20pct,True,monthly_expiry_day,108.8276,20.0,1.7358,42.0,-0.1237,9,-11.38405,3m,monthly_expiry_day|expiry_day|3m|target_20pct|above_zero,0.4444
0.0061,246.0,-22.0081,0.0,-22.0081,0.0,zero_straddle,target_20pct,True,monthly_expiry_day,0.0,-22.0081,0.0061,246.0,-22.0081,1,-0.152549,3m,monthly_expiry_day|expiry_day|3m|target_20pct|zero_straddle,0.0
-26.1962,89.6923,-39.751,59.2239,-23.1726,6.4318,below_zero,trail_after_10pct_dd5pct,True,monthly_expiry_day,613.2924,10.8108,-9.7994,54.0,0.0,39,-18.412592,3m,monthly_expiry_day|expiry_day|3m|trail_after_10pct_dd5pct|below_zero,0.359
2.6765,26.1,-3.0701,25.3324,4.7546,8.108,above_zero,trail_after_10pct_dd5pct,True,monthly_expiry_day,108.8276,17.125,1.7092,22.5,5.1299,10,8.232703,3m,monthly_expiry_day|expiry_day|3m|trail_after_10pct_dd5pct|above_zero,0.7
0.0061,246.0,-22.0081,0.0,-22.0081,0.0,zero_straddle,trail_after_10pct_dd5pct,True,monthly_expiry_day,0.0,-22.0081,0.0061,246.0,-22.0081,1,-0.152549,3m,monthly_expiry_day|expiry_day|3m|trail_after_10pct_dd5pct|zero_straddle,0.0
5.6253,85.8333,-49.75,21.9134,-14.4776,3.1585,above_zero,target_10pct,True,monthly_expiry_day,115.5672,10.0,3.0596,67.5,0.2858,6,-11.121095,5m,monthly_expiry_day|expiry_day|5m|target_10pct|above_zero,0.6667
-111.0891,68.2609,-39.4613,74.8277,-15.8059,10.0,below_zero,target_10pct,True,monthly_expiry_day,786.4041,10.0,-21.0194,35.0,-1.1696,23,-15.126726,5m,monthly_expiry_day|expiry_day|5m|target_10pct|below_zero,0.4783
5.6253,87.5,-49.75,21.9134,-12.811,5.6585,above_zero,target_20pct,True,monthly_expiry_day,115.5672,20.0,3.0596,67.5,0.2858,6,-9.823809,5m,monthly_expiry_day|expiry_day|5m|target_20pct|above_zero,0.6667
-111.0891,82.1739,-47.7578,74.8277,-21.2439,20.0,below_zero,target_20pct,True,monthly_expiry_day,786.4041,20.0,-21.0194,70.0,-2.099,23,-16.895101,5m,monthly_expiry_day|expiry_day|5m|target_20pct|below_zero,0.3913
5.6253,85.8333,-34.2108,21.9134,-16.6664,0.8781,above_zero,trail_after_10pct_dd5pct,True,monthly_expiry_day,115.5672,2.0625,3.0596,67.5,-0.6714,6,-9.990692,5m,monthly_expiry_day|expiry_day|5m|trail_after_10pct_dd5pct|above_zero,0.5
-111.0891,68.4783,-32.0054,74.8277,-13.8832,20.096,below_zero,trail_after_10pct_dd5pct,True,monthly_expiry_day,786.4041,45.4545,-21.0194,35.0,-2.0243,23,-10.102292,5m,monthly_expiry_day|expiry_day|5m|trail_after_10pct_dd5pct|below_zero,0.3478
