name,dt,xdt,entry,entry_mid,o,w1_c,p0945,typ,rest_h,after_open_h,src,nb,helper,r_open,r_w1c,r_0945,r_typ,r_mid,unrev_day,unrev_rest,r_corr,zero
AUBANK,2025-06-26,2025-06-27,821.0,822.2,821.0,811.85,811.55,812.1666666666666,816.0,816.0,upstox_spot,13,0.0,0.0,-0.011144945188794164,-0.011510353227771053,-0.010759236703207553,-0.005572472594397082,True,True,-0.010759236703207553,True
AUBANK,2025-06-30,2025-07-01,819.85,819.9000000000001,820.0,823.7,823.7,824.2333333333332,840.0,840.0,upstox_spot,13,0.00018296029761533106,0.00018296029761533106,0.004695980972128977,0.004695980972128977,0.0053465064747615365,0.002439470634872265,False,False,0.00018296029761533106,False
AUBANK,2025-07-01,2025-07-02,837.6,838.8,840.0,826.8,827.1,831.5,831.15,831.15,upstox_spot,13,0.002865329512893977,0.002865329512893977,-0.012893982808023008,-0.012535816618911122,-0.007282712511938905,-0.005014326647564515,True,True,-0.007282712511938905,False
AUBANK,2025-07-04,2025-07-07,818.3,819.5999999999999,819.55,812.45,812.3,816.15,824.45,824.45,upstox_spot,13,0.0015275571306367919,0.0015275571306367919,-0.0071489673713796,-0.007332274227056068,-0.0026273982646950467,-0.002810705120371404,False,False,0.0015275571306367919,False
AUBANK,2025-07-08,2025-07-09,818.8,820.0,822.5,818.25,818.25,820.1666666666666,827.45,827.45,upstox_spot,13,0.00451880801172444,0.00451880801172444,-0.0006717147044454919,-0.0006717147044454919,0.0016691092655918283,0.001923546653639585,False,False,0.00451880801172444,False
AUBANK,2025-07-09,2025-07-10,826.4,826.5,825.8,827.85,827.85,827.1166666666667,829.55,829.55,upstox_spot,13,-0.0007260406582768608,-0.0007260406582768608,0.00175459825750246,0.00175459825750246,0.0008672152307196423,0.000514278799612855,False,False,-0.0007260406582768608,False
AUBANK,2025-07-10,2025-07-11,828.75,829.0,828.3,827.8,827.35,829.1833333333334,828.0,828.0,upstox_spot,13,-0.0005429864253394534,-0.0005429864253394534,-0.0011463046757165252,-0.0016892911010557565,0.0005228758169935066,-0.0008446455505279893,True,True,0.0005228758169935066,False
AUBANK,2025-07-23,2025-07-24,737.9,738.375,736.75,738.85,738.85,737.0500000000001,746.55,746.55,upstox_spot,13,-0.001558476758368288,-0.001558476758368288,0.0012874373221303248,0.0012874373221303248,-0.0011519176040112322,-0.00013551971811898156,False,False,-0.001558476758368288,False
AUBANK,2025-07-24,2025-07-25,744.0,745.25,743.1,746.55,746.85,743.35,747.4,747.4,upstox_spot,13,-0.0012096774193548487,-0.0012096774193548487,0.003427419354838701,0.0038306451612903913,-0.0008736559139784772,0.0011088709677420372,False,False,-0.0012096774193548487,False
AUBANK,2025-07-29,2025-07-30,740.25,740.725,739.5,751.4,751.3,745.9833333333332,754.1,754.1,upstox_spot,13,-0.0010131712259371373,-0.0010131712259371373,0.015062478892266196,0.014927389395474444,0.007745131149386353,0.00702465383316464,False,False,-0.0010131712259371373,False
AUBANK,2025-08-04,2025-08-05,752.75,753.625,754.0,748.05,748.35,750.2333333333332,749.25,749.25,upstox_spot,13,0.0016605778811025207,0.0016605778811025207,-0.006243772832945971,-0.005845234141481193,-0.003343296800620066,-0.0022915974759216695,True,True,-0.003343296800620066,False
AUBANK,2025-08-07,2025-08-08,744.1,745.05,800.0,758.0,758.0,769.3333333333334,760.9,760.9,upstox_spot,13,0.07512431124848806,0.07512431124848806,0.01868028490794238,0.01868028490794238,0.03391121265062935,0.04690229807821522,True,True,0.03391121265062935,False
AUBANK,2025-08-13,2025-08-14,740.0,740.475,744.0,750.0,749.65,747.1333333333333,752.55,752.55,upstox_spot,13,0.00540540540540535,0.00540540540540535,0.013513513513513598,0.01304054054054049,0.009639639639639652,0.009459459459459474,False,False,0.00540540540540535,False
AUBANK,2025-08-14,2025-08-18,749.8,750.95,755.0,754.5,754.5,755.7666666666668,773.35,773.35,upstox_spot,13,0.006935182715390731,0.006935182715390731,0.0062683382235262375,0.0062683382235262375,0.007957677602916435,0.006601760469458595,False,False,0.006935182715390731,False
AUBANK,2025-08-20,2025-08-21,759.9,759.9,759.6,756.15,756.05,757.4333333333334,759.5,759.5,upstox_spot,13,-0.00039478878799836803,-0.00039478878799836803,-0.004934859849980211,-0.005066456112646445,-0.0032460411457646554,-0.0026648243189892895,True,True,-0.0032460411457646554,False
AUBANK,2025-08-25,2025-08-26,750.0,750.25,750.0,742.95,743.1,744.9833333333332,750.9,750.9,upstox_spot,13,0.0,0.0,-0.009399999999999964,-0.009199999999999986,-0.006688888888888966,-0.0046999999999999265,False,False,0.0,True
AUBANK,2025-09-03,2025-09-04,714.65,714.825,716.0,712.5,712.55,713.9499999999999,714.8,714.8,upstox_spot,13,0.0018890365913384333,0.0018890365913384333,-0.003008465682501904,-0.002938501364304291,-0.000979500454768134,-0.0005597145455816799,True,True,-0.000979500454768134,False
AUBANK,2025-09-05,2025-09-08,696.6,698.25,696.55,699.65,699.65,698.25,703.8,703.8,upstox_spot,13,-7.177720356021933e-05,-7.177720356021933e-05,0.004378409417169049,0.004378409417169049,0.0023686477174849063,0.0021533161068043594,False,False,-7.177720356021933e-05,False
AUBANK,2025-09-10,2025-09-11,713.2,713.7,714.4,709.55,709.75,710.9833333333332,713.0,713.0,upstox_spot,13,0.0016825574873806648,0.0016825574873806648,-0.005117779024116809,-0.004837352776219883,-0.003108057580856416,-0.001717610768368072,True,True,-0.003108057580856416,False
AUBANK,2025-09-15,2025-09-16,714.0,714.5,716.5,714.65,714.7,715.2166666666667,720.5,720.5,upstox_spot,13,0.003501400560224077,0.003501400560224077,0.0009103641456582601,0.0009803921568627416,0.001704014939309051,0.0022058823529411686,False,False,0.003501400560224077,False
AUBANK,2025-09-18,2025-09-19,720.0,721.15,719.65,720.35,720.25,718.8166666666666,724.0,724.0,upstox_spot,13,-0.0004861111111111871,-0.0004861111111111871,0.0004861111111111871,0.0003472222222222765,-0.0016435185185186274,0.0,False,False,-0.0004861111111111871,False
AUBANK,2025-09-23,2025-09-24,731.65,732.325,730.0,738.5,739.0,734.9666666666667,743.4,743.4,upstox_spot,13,-0.002255176655504676,-0.002255176655504676,0.009362400054671038,0.010045786919975486,0.004533132873186352,0.0035536116995831257,False,False,-0.002255176655504676,False
AUBANK,2025-10-03,2025-10-06,740.5,741.75,748.05,751.85,751.85,750.9,764.4,764.4,upstox_spot,13,0.010195813639432671,0.010195813639432671,0.015327481431465229,0.015327481431465229,0.014044564483457034,0.012761647535449061,False,False,0.010195813639432671,False
AUBANK,2025-10-06,2025-10-07,764.4,764.4,765.5,761.9,761.9,762.5833333333334,765.5,765.5,upstox_spot,13,0.0014390371533228308,0.0014390371533228308,-0.0032705389848246558,-0.0032705389848246558,-0.0023765916623058603,-0.0009157509157508015,False,False,0.0014390371533228308,False
AUBANK,2025-10-14,2025-10-15,776.1,776.3,776.5,793.4,793.35,787.6500000000001,807.0,807.0,upstox_spot,13,0.0005153975003220346,0.0005153975003220346,0.02229094188893188,0.02222651720139157,0.014882102821801357,0.011403169694627069,False,False,0.0005153975003220346,False
AUBANK,2025-10-15,2025-10-16,801.25,803.125,801.25,811.2,811.2,806.9,811.75,811.75,upstox_spot,13,0.0,0.0,0.012418096723868954,0.012418096723868954,0.00705148205928241,0.006209048361934588,False,False,0.0,True
AUBANK,2025-10-17,2025-10-20,799.95,801.2,818.0,844.05,844.05,839.75,871.65,871.65,upstox_spot,13,0.022563910244390195,0.022563910244390195,0.05512844552784535,0.05512844552784535,0.049753109569347975,0.03884617788611777,False,False,0.022563910244390195,False
AUBANK,2025-10-20,2025-10-23,866.45,866.725,861.05,879.15,879.4,874.7333333333332,883.75,883.75,upstox_spot,13,-0.006232327312597485,-0.006232327312597485,0.014657510531479012,0.014946044203358433,0.009560082328274211,0.004212591609440652,False,False,-0.006232327312597485,False
AUBANK,2025-10-28,2025-10-29,880.0,880.7,886.0,875.2,875.2,878.7333333333332,885.2,885.2,upstox_spot,13,0.006818181818181834,0.006818181818181834,-0.005454545454545379,-0.005454545454545379,-0.0014393939393940736,0.0006818181818182278,True,True,-0.0014393939393940736,False
AUBANK,2025-11-04,2025-11-06,880.1,880.55,880.9,881.0,880.7,879.65,892.65,892.65,upstox_spot,13,0.0009089876150436549,0.0009089876150436549,0.0010226110669242505,0.0006817407112829077,-0.0005113055334621253,0.0009657993409839527,False,False,0.0009089876150436549,False
AUBANK,2025-11-07,2025-11-10,907.15,908.4,907.15,915.75,915.8,913.1166666666667,922.9,922.9,upstox_spot,13,0.0,0.0,0.009480240313068489,0.009535357989307158,0.006577376031159821,0.004740120156534244,False,False,0.0,True
AUBANK,2025-11-14,2025-11-17,891.9,892.45,895.0,906.15,906.1,902.6166666666667,919.4,919.4,upstox_spot,13,0.003475725978248745,0.003475725978248745,0.01597712748065927,0.015921067384236043,0.012015547333408039,0.009726426729454118,False,False,0.003475725978248745,False
AUBANK,2025-11-17,2025-11-18,914.0,914.15,912.65,922.65,922.85,918.8333333333334,929.9,929.9,upstox_spot,13,-0.0014770240700219261,-0.0014770240700219261,0.009463894967177255,0.009682713347921146,0.005288110867979645,0.003993435448577554,False,False,-0.0014770240700219261,False
AUBANK,2025-11-19,2025-11-20,924.0,925.05,925.65,924.5,924.5,925.4166666666666,926.0,926.0,upstox_spot,13,0.0017857142857142794,0.0017857142857142794,0.00054112554112562,0.00054112554112562,0.0015331890331888864,0.0011634199134200607,False,False,0.0017857142857142794,False
